Row Label,PrecinctCode,County,Registered Voters,Ginger Brooks
Total,-1,MA,NULL,14325
PICKERING,113,MA,NULL,383
HARSTINE,114,MA,NULL,553
GRAPEVIEW,115,MA,NULL,492
MASON LAKE,116,MA,NULL,342
FAIR HARBOR,117,MA,NULL,295
ALLYN,118,MA,NULL,687
VICTOR,119,MA,NULL,267
BELFAIR,120,MA,NULL,348
TIGER LAKE,121,MA,NULL,216
DEWATTO,122,MA,NULL,436
TAHUYA,123,MA,NULL,396
SAND HILL,124,MA,NULL,433
TRAIL&#39;S END,125,MA,NULL,418
TWANOH,126,MA,NULL,267
BORDEAUX,205,MA,NULL,68
KAMILCHE POINT,207,MA,NULL,222
UNION,227,MA,NULL,616
SKOKOMISH,228,MA,NULL,95
HOOD CANAL,229,MA,NULL,447
CUSHMAN,230,MA,NULL,488
EELLS,231,MA,NULL,137
MATLOCK,232,MA,NULL,350
DAYTON,233,MA,NULL,322
KAMILCHE,234,MA,NULL,170
ISABELLA,235,MA,NULL,241
AIRPORT,236,MA,NULL,532
JOHN&#39;S PRAIRIE,237,MA,NULL,308
LIMERICK,238,MA,NULL,568
OLYMPIC VIEW,301,MA,NULL,502
DOWNTOWN,302,MA,NULL,333
ANGLESIDE,303,MA,NULL,417
HILLCREST,304,MA,NULL,292
FAWN LAKE,306,MA,NULL,497
ARCADIA,308,MA,NULL,470
MILL CREEK,309,MA,NULL,507
AGATE,310,MA,NULL,389
OAKLAND BAY,311,MA,NULL,319
TIMBERLAKE,312,MA,NULL,490
CALLANAN,339,MA,NULL,12
