Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,LI,NULL,1757,2711
ALMIRA RURAL,1,LI,NULL,10,27
BLUESTEM,2,LI,NULL,8,12
CANBY,3,LI,NULL,14,26
CRESTON RURAL,4,LI,NULL,11,47
WHEATLAND,5,LI,NULL,38,55
DAVENPORT RURAL,6,LI,NULL,34,61
DOWNS,7,LI,NULL,5,18
EARL,8,LI,NULL,12,21
EDWALL,9,LI,NULL,17,54
EGYPT,10,LI,NULL,47,75
ENOS,11,LI,NULL,3,16
GOVAN,12,LI,NULL,9,12
GRAND COULEE,13,LI,NULL,15,23
GRAVELLE,14,LI,NULL,9,31
HARR RURAL,15,LI,NULL,14,44
HAWK CREEK,16,LI,NULL,36,41
IRBY,17,LI,NULL,9,21
KELLER,18,LI,NULL,21,46
LAKEVIEW,19,LI,NULL,56,67
LAMONA,20,LI,NULL,12,14
EAST LARENE,21,LI,NULL,34,60
WEST LARENE,22,LI,NULL,20,24
LAYTON,23,LI,NULL,9,10
LONG LAKE,24,LI,NULL,24,53
MOHLER,25,LI,NULL,17,37
MONDOVI,26,LI,NULL,32,55
ODESSA RURAL,27,LI,NULL,38,56
PEACH,28,LI,NULL,60,67
N REARDAN RURAL,29,LI,NULL,18,29
S REARDAN RURAL,30,LI,NULL,11,42
RIVERVIEW,31,LI,NULL,73,87
SEVEN BAYS,32,LI,NULL,31,39
SHERMAN,33,LI,NULL,14,51
SPRAGUE RURAL,34,LI,NULL,37,72
SPRING CREEK,35,LI,NULL,31,48
WILBUR RURAL,36,LI,NULL,33,63
WAUKON,37,LI,NULL,15,31
WILSON CREEK,38,LI,NULL,7,26
ALMIRA IN,39,LI,NULL,37,62
CRESTON IN,40,LI,NULL,54,36
DAVENPORT IN,41,LI,NULL,274,364
HARRINGTON IN,42,LI,NULL,58,89
ODESSA IN,43,LI,NULL,150,190
REARDAN IN,44,LI,NULL,85,131
SPRAGUE IN,45,LI,NULL,71,65
WILBUR IN,46,LI,NULL,144,213
