Row Label,PrecinctCode,County,Registered Voters,Mary Yu
Total,-1,KT,NULL,5168
ALDER CREEK,1,KT,NULL,105
CENTERVILLE,2,KT,NULL,188
COLUMBUS,3,KT,NULL,29
E KLICKITAT,4,KT,NULL,74
F VALLEY,5,KT,NULL,268
GLENWOOD,6,KT,NULL,182
HUSUM,7,KT,NULL,219
LYLE,8,KT,NULL,280
MT BROOK,9,KT,NULL,195
N DALLES,11,KT,NULL,257
N F VALLEY,12,KT,NULL,279
PINE FOREST,13,KT,NULL,489
ROOSEVELT,14,KT,NULL,48
TROUT LAKE,16,KT,NULL,202
W KLICKITAT,17,KT,NULL,57
WISHRAM,19,KT,NULL,66
WOODLAND,20,KT,NULL,516
ORCHARD HTS,21,KT,NULL,146
APPLETON,22,KT,NULL,64
ALDERDALE,23,KT,NULL,31
E LYLE,24,KT,NULL,94
RIVER,27,KT,NULL,18
HGH PRAIRIE,28,KT,NULL,38
BINGEN,101,KT,NULL,93
GOLDENDALE 1,102,KT,NULL,290
GOLDENDALE 2,103,KT,NULL,277
GOLDENDALE 3,104,KT,NULL,210
WHITE SALMON,109,KT,NULL,282
N WHITE SALMON,110,KT,NULL,171
