Row Label,PrecinctCode,County,Registered Voters,Brad Hawkins
Total,-1,DG,NULL,8153
PRECINCT 101,101,DG,NULL,175
PRECINCT 102,102,DG,NULL,323
PRECINCT 103,103,DG,NULL,75
PRECINCT 104,104,DG,NULL,406
PRECINCT 105,105,DG,NULL,111
PRECINCT 106,106,DG,NULL,151
PRECINCT 107,107,DG,NULL,148
PRECINCT 108,108,DG,NULL,156
PRECINCT 109,109,DG,NULL,117
PRECINCT 110,110,DG,NULL,224
PRECINCT 111,111,DG,NULL,309
PRECINCT 112,112,DG,NULL,166
PRECINCT 113,113,DG,NULL,170
PRECINCT 114,114,DG,NULL,148
PRECINCT 201,201,DG,NULL,189
PRECINCT 202,202,DG,NULL,76
PRECINCT 203,203,DG,NULL,230
PRECINCT 204,204,DG,NULL,267
PRECINCT 205,205,DG,NULL,340
PRECINCT 206,206,DG,NULL,148
PRECINCT 207,207,DG,NULL,289
PRECINCT 208,208,DG,NULL,138
PRECINCT 209,209,DG,NULL,266
PRECINCT 210,210,DG,NULL,86
PRECINCT 211,211,DG,NULL,72
PRECINCT 212,212,DG,NULL,181
PRECINCT 213,213,DG,NULL,152
PRECINCT 214,214,DG,NULL,62
PRECINCT 215,215,DG,NULL,222
PRECINCT 301,301,DG,NULL,352
PRECINCT 302,302,DG,NULL,284
PRECINCT 303,303,DG,NULL,170
PRECINCT 304,304,DG,NULL,52
PRECINCT 305,305,DG,NULL,136
PRECINCT 306,306,DG,NULL,149
PRECINCT 307,307,DG,NULL,41
PRECINCT 308,308,DG,NULL,43
PRECINCT 309,309,DG,NULL,72
PRECINCT 310,310,DG,NULL,99
PRECINCT 311,311,DG,NULL,126
PRECINCT 312,312,DG,NULL,163
PRECINCT 313,313,DG,NULL,50
PRECINCT 314,314,DG,NULL,43
PRECINCT 315,315,DG,NULL,291
PRECINCT 316,316,DG,NULL,240
PRECINCT 317,317,DG,NULL,363
PRECINCT 318,318,DG,NULL,82
