Row Label,PrecinctCode,County,Registered Voters,Judith (Judy) Warnick,Mohammad Said
Total,-1,KS,NULL,9837,2435
CLE ELUM 1,1,KS,NULL,159,29
CLE ELUM 2,2,KS,NULL,93,17
CLE ELUM 3,3,KS,NULL,48,14
CLE ELUM 4,4,KS,NULL,206,47
DENMARK,5,KS,NULL,428,50
EAST SANDERS,6,KS,NULL,295,42
EASTON,7,KS,NULL,295,53
ELLENSBURG 1,8,KS,NULL,29,18
ELLENSBURG 2,9,KS,NULL,41,36
ELLENSBURG 4,11,KS,NULL,23,24
ELLENSBURG 5,12,KS,NULL,50,39
ELLENSBURG 6,13,KS,NULL,44,23
ELLENSBURG 7,14,KS,NULL,41,13
ELLENSBURG 8,15,KS,NULL,61,28
ELLENSBURG 9,16,KS,NULL,51,34
ELLENSBURG 10,17,KS,NULL,86,54
ELLENSBURG 11,18,KS,NULL,82,50
ELLENSBURG 12,19,KS,NULL,73,60
ELLENSBURG 13,20,KS,NULL,65,41
ELLENSBURG 14,21,KS,NULL,102,35
ELLENSBURG 15,22,KS,NULL,125,43
ELLENSBURG 16,23,KS,NULL,188,56
ELLENSBURG 17,24,KS,NULL,139,73
ELLENSBURG 18,25,KS,NULL,23,12
ELLENSBURG 19,26,KS,NULL,190,120
ELLENSBURG 20,27,KS,NULL,51,26
ELLENSBURG 21,28,KS,NULL,91,33
ELLENSBURG 22,29,KS,NULL,132,48
ELLENSBURG 23,30,KS,NULL,161,54
ELLENSBURG 24,31,KS,NULL,311,67
HYAK,32,KS,NULL,77,20
KITTITAS 1,33,KS,NULL,117,19
MANASTASH,34,KS,NULL,236,45
MOUNTAIN,35,KS,NULL,115,25
NORTH CENTRAL,36,KS,NULL,231,49
NORTH ELLENSBURG,37,KS,NULL,374,68
PARK,38,KS,NULL,320,30
PEOH POINT,39,KS,NULL,283,40
RIDGEWAY,40,KS,NULL,431,82
ROSLYN 1,41,KS,NULL,113,61
ROSLYN 2,42,KS,NULL,83,57
DRY CREEK,43,KS,NULL,340,58
WESTSIDE,44,KS,NULL,329,78
ROSLYN OUTLYING,45,KS,NULL,49,6
SANDERS,46,KS,NULL,124,22
SOUTH CLE ELUM,47,KS,NULL,160,14
SOUTH ELLENSBURG,48,KS,NULL,360,78
SWAUK,50,KS,NULL,193,18
TEANAWAY,51,KS,NULL,274,47
THORP(*),52,KS,NULL,0,0
VANTAGE(*),53,KS,NULL,0,0
FAIRVIEW,54,KS,NULL,189,29
NORTHEAST FAIRVIEW,55,KS,NULL,296,48
THRALL,56,KS,NULL,264,54
DAMMAN,58,KS,NULL,291,54
KACHESS,59,KS,NULL,88,18
KITTITAS 2,60,KS,NULL,135,21
ELLENSBURG 25,61,KS,NULL,270,74
RONALD,62,KS,NULL,119,28
