Row Label,PrecinctCode,County,Registered Voters,Thad Duvall,Greg Wright
Total,-1,DG,NULL,5460,4695
PRECINCT 101,101,DG,NULL,116,108
PRECINCT 102,102,DG,NULL,241,184
PRECINCT 103,103,DG,NULL,53,43
PRECINCT 104,104,DG,NULL,286,204
PRECINCT 105,105,DG,NULL,62,78
PRECINCT 106,106,DG,NULL,92,94
PRECINCT 107,107,DG,NULL,114,74
PRECINCT 108,108,DG,NULL,124,84
PRECINCT 109,109,DG,NULL,53,86
PRECINCT 110,110,DG,NULL,135,129
PRECINCT 111,111,DG,NULL,202,189
PRECINCT 112,112,DG,NULL,122,98
PRECINCT 113,113,DG,NULL,114,78
PRECINCT 114,114,DG,NULL,116,67
PRECINCT 201,201,DG,NULL,125,107
PRECINCT 202,202,DG,NULL,67,46
PRECINCT 203,203,DG,NULL,138,143
PRECINCT 204,204,DG,NULL,156,167
PRECINCT 205,205,DG,NULL,286,142
PRECINCT 206,206,DG,NULL,123,75
PRECINCT 207,207,DG,NULL,177,174
PRECINCT 208,208,DG,NULL,89,79
PRECINCT 209,209,DG,NULL,171,158
PRECINCT 210,210,DG,NULL,66,45
PRECINCT 211,211,DG,NULL,59,33
PRECINCT 212,212,DG,NULL,114,101
PRECINCT 213,213,DG,NULL,114,88
PRECINCT 214,214,DG,NULL,35,42
PRECINCT 215,215,DG,NULL,136,133
PRECINCT 301,301,DG,NULL,190,231
PRECINCT 302,302,DG,NULL,184,165
PRECINCT 303,303,DG,NULL,135,76
PRECINCT 304,304,DG,NULL,35,28
PRECINCT 305,305,DG,NULL,75,84
PRECINCT 306,306,DG,NULL,76,106
PRECINCT 307,307,DG,NULL,33,30
PRECINCT 308,308,DG,NULL,39,24
PRECINCT 309,309,DG,NULL,48,43
PRECINCT 310,310,DG,NULL,64,50
PRECINCT 311,311,DG,NULL,88,76
PRECINCT 312,312,DG,NULL,89,108
PRECINCT 313,313,DG,NULL,32,28
PRECINCT 314,314,DG,NULL,48,14
PRECINCT 315,315,DG,NULL,190,189
PRECINCT 316,316,DG,NULL,153,149
PRECINCT 317,317,DG,NULL,237,202
PRECINCT 318,318,DG,NULL,58,43
