Row Label,PrecinctCode,County,Registered Voters,Pam Roach,Cathy Dahlquist
Total,-1,KI,NULL,14961,12473
Total,-1,KI,NULL,14961,12473
31-801,31801,PI,NULL,140,130
31-802,31802,PI,NULL,240,175
31-803,31803,PI,NULL,215,202
31-804,31804,PI,NULL,203,221
31-805,31805,PI,NULL,219,202
31-806,31806,PI,NULL,247,272
31-807(*),31807,PI,NULL,0,0
31-808,31808,PI,NULL,206,197
31-809,31809,PI,NULL,195,230
31-810,31810,PI,NULL,122,150
31-813,31813,PI,NULL,107,112
31-814,31814,PI,NULL,28,25
31-815,31815,PI,NULL,157,148
31-816,31816,PI,NULL,194,181
31-817,31817,PI,NULL,239,223
31-818,31818,PI,NULL,62,46
31-819,31819,PI,NULL,92,108
31-822,31822,PI,NULL,177,152
31-823,31823,PI,NULL,163,139
31-824(*),31824,PI,NULL,0,0
31-825,31825,PI,NULL,170,221
31-826,31826,PI,NULL,198,254
31-827,31827,PI,NULL,65,59
31-828,31828,PI,NULL,164,229
31-829,31829,PI,NULL,161,190
31-830,31830,PI,NULL,91,77
31-833,31833,PI,NULL,232,188
31-834,31834,PI,NULL,212,152
31-835,31835,PI,NULL,338,277
31-836,31836,PI,NULL,242,193
31-837,31837,PI,NULL,179,157
31-838,31838,PI,NULL,166,147
31-839,31839,PI,NULL,16,23
31-840,31840,PI,NULL,119,70
31-841,31841,PI,NULL,115,106
31-842,31842,PI,NULL,222,153
31-843,31843,PI,NULL,178,108
31-844,31844,PI,NULL,161,125
31-845,31845,PI,NULL,196,155
31-846,31846,PI,NULL,92,65
31-847,31847,PI,NULL,120,76
31-848,31848,PI,NULL,38,32
31-849,31849,PI,NULL,83,54
31-853,31853,PI,NULL,38,48
31-854,31854,PI,NULL,111,90
31-855,31855,PI,NULL,133,143
31-856,31856,PI,NULL,190,172
31-857,31857,PI,NULL,115,117
31-861,31861,PI,NULL,76,37
31-865,31865,PI,NULL,72,46
31-869,31869,PI,NULL,155,58
31-873,31873,PI,NULL,38,42
31-874,31874,PI,NULL,0,0
31-875,31875,PI,NULL,316,215
31-876,31876,PI,NULL,15,8
31-877,31877,PI,NULL,136,88
31-879,31879,PI,NULL,53,51
31-880,31880,PI,NULL,89,73
31-881,31881,PI,NULL,160,125
31-882,31882,PI,NULL,276,174
31-883,31883,PI,NULL,348,241
31-884,31884,PI,NULL,336,190
31-885,31885,PI,NULL,98,73
31-886,31886,PI,NULL,237,178
31-887,31887,PI,NULL,203,155
31-888,31888,PI,NULL,200,117
31-890,31890,PI,NULL,140,103
31-891,31891,PI,NULL,67,84
31-892,31892,PI,NULL,140,160
31-893(*),31893,PI,NULL,0,0
31-894,31894,PI,NULL,27,36
31-895,31895,PI,NULL,199,155
31-896,31896,PI,NULL,5,2
31-897,31897,PI,NULL,114,103
31-898,31898,PI,NULL,249,222
31-899,31899,PI,NULL,149,95
31-900,31900,PI,NULL,150,139
31-901,31901,PI,NULL,22,26
31-902,31902,PI,NULL,288,304
31-903(*),31903,PI,NULL,0,0
31-904,31904,PI,NULL,45,30
31-905,31905,PI,NULL,208,184
31-906,31906,PI,NULL,125,95
31-907,31907,PI,NULL,209,134
31-908,31908,PI,NULL,153,132
31-909,31909,PI,NULL,171,133
31-910,31910,PI,NULL,199,149
31-911,31911,PI,NULL,119,114
31-912,31912,PI,NULL,166,99
31-913,31913,PI,NULL,106,76
31-914,31914,PI,NULL,177,111
31-915,31915,PI,NULL,53,21
31-916,31916,PI,NULL,185,187
31-917,31917,PI,NULL,330,234
31-919,31919,PI,NULL,206,161
31-920,31920,PI,NULL,151,132
31-921,31921,PI,NULL,210,127
31-923,31923,PI,NULL,190,117
31-924,31924,PI,NULL,160,114
31-925,31925,PI,NULL,38,80
31-926,31926,PI,NULL,6,9
31-927,31927,PI,NULL,234,137
