Row Label,PrecinctCode,County,Registered Voters,John Hilderbrand,Dan Hally
Total,-1,AS,NULL,4445,3065
ANATONE,1,AS,NULL,89,61
RURAL ASOTIN,3,AS,NULL,109,66
W ASOTIN,4,AS,NULL,102,69
SWALLOWS NEST,5,AS,NULL,250,204
ASOTIN #1,101,AS,NULL,148,77
ASOTIN #2,102,AS,NULL,159,87
CLARKSTON #1,201,AS,NULL,100,81
CLARKSTON #2,202,AS,NULL,142,101
CLARKSTON #3,203,AS,NULL,120,118
CLARKSTON #4,204,AS,NULL,133,126
CLARKSTON #5,205,AS,NULL,93,73
CLARKSTON #6,206,AS,NULL,128,129
CLARKSTON #7,207,AS,NULL,109,54
CLARKSTON #8,208,AS,NULL,140,87
CLARKSTON HTS #1,301,AS,NULL,195,134
CLARKSTON HTS #2,302,AS,NULL,338,222
CLARKSTON HTS #3,303,AS,NULL,65,61
CLARKSTON HTS #4,304,AS,NULL,228,84
CLARKSTON HTS #5,305,AS,NULL,373,207
CLARKSTON HTS #6,306,AS,NULL,312,199
CLARKSTON HTS #7,307,AS,NULL,224,162
SOUTH CLARKSTON #1,401,AS,NULL,154,112
SOUTH CLARKSTON #2,402,AS,NULL,190,168
WEST CLARKSTON #1,501,AS,NULL,151,139
WEST CLARKSTON #2,502,AS,NULL,177,109
WEST CLARKSTON #3,503,AS,NULL,216,135
