Row Label,PrecinctCode,County,Registered Voters,Christopher Melly
Total,-1,CM,NULL,17032
PORT ANGELES 101,101,CM,NULL,245
PORT ANGELES 102,102,CM,NULL,385
PORT ANGELES 103,103,CM,NULL,424
PORT ANGELES 104,104,CM,NULL,282
PORT ANGELES 105,105,CM,NULL,398
PORT ANGELES 106,106,CM,NULL,328
PORT ANGELES 107,107,CM,NULL,411
PORT ANGELES 108,108,CM,NULL,206
PORT ANGELES 109,109,CM,NULL,459
PORT ANGELES 110,110,CM,NULL,105
PORT ANGELES 111,111,CM,NULL,439
PORT ANGELES 112,112,CM,NULL,247
PORT ANGELES 113,113,CM,NULL,248
AGNEW 201,201,CM,NULL,268
BEAVER 204,204,CM,NULL,188
BELLEVIEW 205,205,CM,NULL,364
BELL HILL 207,207,CM,NULL,302
BLACK DIAMOND 208,208,CM,NULL,209
BLUE MOUNTAIN 209,209,CM,NULL,309
BLUFFS 210,210,CM,NULL,180
BLYN 211,211,CM,NULL,256
BOGACHIEL 212,212,CM,NULL,94
CARLSBORG 214,214,CM,NULL,235
CLALLAM BAY 215,215,CM,NULL,163
CLARK 216,216,CM,NULL,125
CLINE 217,217,CM,NULL,307
COYOTE 218,218,CM,NULL,356
DEER PARK 220,220,CM,NULL,334
DIAMOND POINT 221,221,CM,NULL,319
DUNGENESS EAST 222,222,CM,NULL,356
DUNGENESS WEST 223,223,CM,NULL,156
DRY CREEK 224,224,CM,NULL,288
EAGLE 226,226,CM,NULL,250
ELK 229,229,CM,NULL,76
ELWHA 230,230,CM,NULL,94
FAIRVIEW 232,232,CM,NULL,333
FRESHWATER BAY 233,233,CM,NULL,386
HAPPY VALLEY 237,237,CM,NULL,155
JAMESTOWN 240,240,CM,NULL,201
JOYCE 241,241,CM,NULL,339
LOST MOUNTAIN 245,245,CM,NULL,178
MILLER PENINSULA 246,246,CM,NULL,153
MACLEAY 247,247,CM,NULL,291
MADISON CREEK 248,248,CM,NULL,118
MONTERRA 249,249,CM,NULL,305
MOUNT ANGELES 250,250,CM,NULL,192
MOUNT PLEASANT 251,251,CM,NULL,285
NEAH BAY 252,252,CM,NULL,149
OBRIEN 253,253,CM,NULL,268
OLYMPIC 254,254,CM,NULL,203
PORT WILLIAMS 258,258,CM,NULL,181
PRAIRIE NORTH 259,259,CM,NULL,255
PRAIRIE SOUTH 260,260,CM,NULL,313
QUILEUTE 262,262,CM,NULL,98
RIVERSIDE 265,265,CM,NULL,295
ROBIN HILL 266,266,CM,NULL,235
SUN 269,269,CM,NULL,94
SUNLAND NORTH 270,270,CM,NULL,337
SUNLAND SOUTH 271,271,CM,NULL,220
FORKS 301,301,CM,NULL,162
FORKS 302,302,CM,NULL,219
SEQUIM 401,401,CM,NULL,181
SEQUIM 402,402,CM,NULL,189
SEQUIM 403,403,CM,NULL,337
SEQUIM 404,404,CM,NULL,408
SEQUIM 405,405,CM,NULL,271
SEQUIM 406,406,CM,NULL,275
