Row Label,PrecinctCode,County,Registered Voters,Nancy Anne Harmon
Total,-1,CH,NULL,13402
100,100,CH,NULL,6
110,110,CH,NULL,159
111,111,CH,NULL,53
112,112,CH,NULL,15
113,113,CH,NULL,37
114,114,CH,NULL,213
115,115,CH,NULL,17
116,116,CH,NULL,76
120,120,CH,NULL,154
121,121,CH,NULL,151
122,122,CH,NULL,83
123,123,CH,NULL,22
124,124,CH,NULL,35
125,125,CH,NULL,303
126,126,CH,NULL,44
127,127,CH,NULL,66
128,128,CH,NULL,32
129,129,CH,NULL,119
131,131,CH,NULL,32
132,132,CH,NULL,20
133,133,CH,NULL,192
134,134,CH,NULL,308
135,135,CH,NULL,307
136,136,CH,NULL,4
140,140,CH,NULL,102
141,141,CH,NULL,7
142,142,CH,NULL,26
143,143,CH,NULL,4
144,144,CH,NULL,17
145,145,CH,NULL,17
146,146,CH,NULL,56
147,147,CH,NULL,294
148,148,CH,NULL,134
149,149,CH,NULL,151
150,150,CH,NULL,27
151,151,CH,NULL,3
152,152,CH,NULL,4
153,153,CH,NULL,432
154,154,CH,NULL,371
155,155,CH,NULL,137
156,156,CH,NULL,34
157,157,CH,NULL,291
158,158,CH,NULL,156
159,159,CH,NULL,5
161,161,CH,NULL,22
162,162,CH,NULL,21
163,163,CH,NULL,16
164,164,CH,NULL,108
165,165,CH,NULL,74
171,171,CH,NULL,7
172,172,CH,NULL,11
173,173,CH,NULL,10
174,174,CH,NULL,209
175,175,CH,NULL,363
181,181,CH,NULL,269
182,182,CH,NULL,226
183,183,CH,NULL,126
190,190,CH,NULL,22
210,210,CH,NULL,198
220,220,CH,NULL,236
310,310,CH,NULL,124
320,320,CH,NULL,183
330,330,CH,NULL,211
410,410,CH,NULL,247
420,420,CH,NULL,292
430,430,CH,NULL,358
440,440,CH,NULL,415
450,450,CH,NULL,348
460,460,CH,NULL,348
480,480,CH,NULL,353
490,490,CH,NULL,512
510,510,CH,NULL,203
520,520,CH,NULL,489
530,530,CH,NULL,378
540,540,CH,NULL,299
560,560,CH,NULL,339
580,580,CH,NULL,233
590,590,CH,NULL,304
610,610,CH,NULL,223
710,710,CH,NULL,221
720,720,CH,NULL,297
730,730,CH,NULL,354
1149,1149,CH,NULL,29
1150,1150,CH,NULL,6
1151,1151,CH,NULL,2
