Row Label,PrecinctCode,County,Registered Voters,Linda M. Fisher
Total,-1,LI,NULL,3781
ALMIRA RURAL,1,LI,NULL,27
BLUESTEM,2,LI,NULL,15
CANBY,3,LI,NULL,33
CRESTON RURAL,4,LI,NULL,50
WHEATLAND,5,LI,NULL,76
DAVENPORT RURAL,6,LI,NULL,78
DOWNS,7,LI,NULL,20
EARL,8,LI,NULL,31
EDWALL,9,LI,NULL,66
EGYPT,10,LI,NULL,104
ENOS,11,LI,NULL,10
GOVAN,12,LI,NULL,19
GRAND COULEE,13,LI,NULL,31
GRAVELLE,14,LI,NULL,36
HARR RURAL,15,LI,NULL,52
HAWK CREEK,16,LI,NULL,60
IRBY,17,LI,NULL,22
KELLER,18,LI,NULL,57
LAKEVIEW,19,LI,NULL,106
LAMONA,20,LI,NULL,24
EAST LARENE,21,LI,NULL,78
WEST LARENE,22,LI,NULL,33
LAYTON,23,LI,NULL,17
LONG LAKE,24,LI,NULL,61
MOHLER,25,LI,NULL,45
MONDOVI,26,LI,NULL,67
ODESSA RURAL,27,LI,NULL,80
PEACH,28,LI,NULL,116
N REARDAN RURAL,29,LI,NULL,42
S REARDAN RURAL,30,LI,NULL,46
RIVERVIEW,31,LI,NULL,126
SEVEN BAYS,32,LI,NULL,61
SHERMAN,33,LI,NULL,59
SPRAGUE RURAL,34,LI,NULL,94
SPRING CREEK,35,LI,NULL,71
WILBUR RURAL,36,LI,NULL,86
WAUKON,37,LI,NULL,42
WILSON CREEK,38,LI,NULL,31
ALMIRA IN,39,LI,NULL,82
CRESTON IN,40,LI,NULL,80
DAVENPORT IN,41,LI,NULL,509
HARRINGTON IN,42,LI,NULL,122
ODESSA IN,43,LI,NULL,299
REARDAN IN,44,LI,NULL,191
SPRAGUE IN,45,LI,NULL,108
WILBUR IN,46,LI,NULL,318
