Row Label,PrecinctCode,County,Registered Voters,Steve Conway,Terry Harder
Total,-1,PI,NULL,13071,9277
29-601,29601,PI,NULL,233,143
29-602,29602,PI,NULL,208,129
29-603,29603,PI,NULL,276,120
29-604,29604,PI,NULL,285,110
29-605,29605,PI,NULL,207,141
29-606,29606,PI,NULL,281,178
29-607,29607,PI,NULL,365,150
29-608,29608,PI,NULL,230,146
29-609,29609,PI,NULL,201,108
29-610,29610,PI,NULL,268,135
29-611,29611,PI,NULL,69,28
29-612,29612,PI,NULL,159,67
29-613,29613,PI,NULL,293,169
29-614,29614,PI,NULL,333,157
29-615,29615,PI,NULL,320,171
29-616,29616,PI,NULL,262,168
29-617,29617,PI,NULL,242,182
29-618,29618,PI,NULL,234,122
29-619,29619,PI,NULL,250,153
29-620(*),29620,PI,NULL,0,0
29-621(*),29621,PI,NULL,0,0
29-622,29622,PI,NULL,197,119
29-623,29623,PI,NULL,58,28
29-624,29624,PI,NULL,0,0
29-625(*),29625,PI,NULL,0,0
29-626,29626,PI,NULL,7,6
29-627,29627,PI,NULL,0,0
29-633,29633,PI,NULL,25,12
29-635,29635,PI,NULL,77,30
29-636,29636,PI,NULL,314,212
29-637,29637,PI,NULL,241,123
29-638,29638,PI,NULL,137,68
29-639,29639,PI,NULL,242,160
29-640,29640,PI,NULL,254,143
29-641,29641,PI,NULL,268,139
29-642,29642,PI,NULL,273,192
29-643,29643,PI,NULL,24,14
29-648,29648,PI,NULL,5,4
29-649,29649,PI,NULL,85,43
29-650,29650,PI,NULL,252,157
29-651,29651,PI,NULL,296,200
29-652,29652,PI,NULL,34,11
29-653,29653,PI,NULL,278,140
29-654,29654,PI,NULL,289,190
29-655,29655,PI,NULL,130,64
29-656,29656,PI,NULL,221,183
29-657,29657,PI,NULL,5,2
29-658,29658,PI,NULL,243,203
29-659,29659,PI,NULL,141,120
29-660,29660,PI,NULL,278,257
29-661,29661,PI,NULL,189,187
29-662,29662,PI,NULL,0,0
29-663,29663,PI,NULL,209,193
29-664,29664,PI,NULL,244,212
29-667,29667,PI,NULL,239,243
29-668,29668,PI,NULL,168,173
29-669,29669,PI,NULL,249,211
29-670,29670,PI,NULL,232,287
29-671,29671,PI,NULL,191,238
29-672,29672,PI,NULL,126,125
29-673,29673,PI,NULL,249,240
29-674,29674,PI,NULL,81,73
29-675,29675,PI,NULL,236,204
29-676,29676,PI,NULL,209,239
29-677,29677,PI,NULL,229,243
29-678,29678,PI,NULL,163,163
29-679,29679,PI,NULL,170,196
29-680,29680,PI,NULL,175,211
29-682,29682,PI,NULL,216,182
29-683,29683,PI,NULL,236,189
