Row Label,PrecinctCode,County,Registered Voters,Dave Reichert,Jason Ritchie
Total,-1,DG,NULL,3236,1180
PRECINCT 102,102,DG,NULL,333,104
PRECINCT 103,103,DG,NULL,60,32
PRECINCT 104,104,DG,NULL,377,119
PRECINCT 105,105,DG,NULL,92,49
PRECINCT 106,106,DG,NULL,132,58
PRECINCT 107,107,DG,NULL,134,57
PRECINCT 108,108,DG,NULL,138,65
PRECINCT 109,109,DG,NULL,112,29
PRECINCT 111,111,DG,NULL,301,97
PRECINCT 112,112,DG,NULL,154,79
PRECINCT 113,113,DG,NULL,145,55
PRECINCT 114,114,DG,NULL,140,47
PRECINCT 201,201,DG,NULL,168,66
PRECINCT 203,203,DG,NULL,216,71
PRECINCT 208,208,DG,NULL,117,55
PRECINCT 214,214,DG,NULL,52,28
PRECINCT 215,215,DG,NULL,216,61
PRECINCT 302,302,DG,NULL,276,82
PRECINCT 318,318,DG,NULL,73,26
