Row Label,PrecinctCode,County,Registered Voters,Mary E. Fairhurst
Total,-1,CM,NULL,16409
PORT ANGELES 101,101,CM,NULL,228
PORT ANGELES 102,102,CM,NULL,377
PORT ANGELES 103,103,CM,NULL,388
PORT ANGELES 104,104,CM,NULL,271
PORT ANGELES 105,105,CM,NULL,354
PORT ANGELES 106,106,CM,NULL,283
PORT ANGELES 107,107,CM,NULL,387
PORT ANGELES 108,108,CM,NULL,194
PORT ANGELES 109,109,CM,NULL,450
PORT ANGELES 110,110,CM,NULL,103
PORT ANGELES 111,111,CM,NULL,410
PORT ANGELES 112,112,CM,NULL,228
PORT ANGELES 113,113,CM,NULL,230
AGNEW 201,201,CM,NULL,263
BEAVER 204,204,CM,NULL,181
BELLEVIEW 205,205,CM,NULL,341
BELL HILL 207,207,CM,NULL,303
BLACK DIAMOND 208,208,CM,NULL,174
BLUE MOUNTAIN 209,209,CM,NULL,290
BLUFFS 210,210,CM,NULL,174
BLYN 211,211,CM,NULL,247
BOGACHIEL 212,212,CM,NULL,93
CARLSBORG 214,214,CM,NULL,233
CLALLAM BAY 215,215,CM,NULL,157
CLARK 216,216,CM,NULL,122
CLINE 217,217,CM,NULL,310
COYOTE 218,218,CM,NULL,349
DEER PARK 220,220,CM,NULL,327
DIAMOND POINT 221,221,CM,NULL,326
DUNGENESS EAST 222,222,CM,NULL,351
DUNGENESS WEST 223,223,CM,NULL,152
DRY CREEK 224,224,CM,NULL,278
EAGLE 226,226,CM,NULL,245
ELK 229,229,CM,NULL,71
ELWHA 230,230,CM,NULL,88
FAIRVIEW 232,232,CM,NULL,310
FRESHWATER BAY 233,233,CM,NULL,370
HAPPY VALLEY 237,237,CM,NULL,160
JAMESTOWN 240,240,CM,NULL,203
JOYCE 241,241,CM,NULL,325
LOST MOUNTAIN 245,245,CM,NULL,171
MILLER PENINSULA 246,246,CM,NULL,162
MACLEAY 247,247,CM,NULL,283
MADISON CREEK 248,248,CM,NULL,108
MONTERRA 249,249,CM,NULL,293
MOUNT ANGELES 250,250,CM,NULL,171
MOUNT PLEASANT 251,251,CM,NULL,279
NEAH BAY 252,252,CM,NULL,156
OBRIEN 253,253,CM,NULL,249
OLYMPIC 254,254,CM,NULL,205
PORT WILLIAMS 258,258,CM,NULL,184
PRAIRIE NORTH 259,259,CM,NULL,250
PRAIRIE SOUTH 260,260,CM,NULL,305
QUILEUTE 262,262,CM,NULL,101
RIVERSIDE 265,265,CM,NULL,287
ROBIN HILL 266,266,CM,NULL,228
SUN 269,269,CM,NULL,94
SUNLAND NORTH 270,270,CM,NULL,326
SUNLAND SOUTH 271,271,CM,NULL,212
FORKS 301,301,CM,NULL,150
FORKS 302,302,CM,NULL,219
SEQUIM 401,401,CM,NULL,185
SEQUIM 402,402,CM,NULL,191
SEQUIM 403,403,CM,NULL,329
SEQUIM 404,404,CM,NULL,404
SEQUIM 405,405,CM,NULL,254
SEQUIM 406,406,CM,NULL,267
