Row Label,PrecinctCode,County,Registered Voters,Mary Yu
Total,-1,GA,NULL,762
GROUSE-VOTE BY MAIL,101,GA,NULL,0
MAYVIEW-VOTE BY MAIL,102,GA,NULL,30
PATAHA,103,GA,NULL,101
PEOLA-VOTE BY MAIL,104,GA,NULL,10
PING - VOTE BY MAIL,105,GA,NULL,14
PLEASANT-VB MAIL,106,GA,NULL,28
SCOGGIN - VB MAIL,109,GA,NULL,76
TUCANNON - VB MAIL,110,GA,NULL,39
WARD 1,201,GA,NULL,82
WARD 2,202,GA,NULL,134
WARD 3,203,GA,NULL,148
WARD 4,204,GA,NULL,100
