Row Label,PrecinctCode,County,Registered Voters,Dave Hayes,Nick Petrish
Total,-1,SN,NULL,6590,3302
BOULDER,11014016,SN,NULL,249,162
BRYANT,11014021,SN,NULL,76,47
ARMSTRONG,11014027,SN,NULL,167,73
TRONSON,11014326,SN,NULL,130,72
HENNING,11014647,SN,NULL,266,139
NORTH FORK,11014759,SN,NULL,115,62
STANWOOD 1,21011199,SN,NULL,84,65
STANWOOD 2,21011200,SN,NULL,197,78
STANWOOD 3,21011509,SN,NULL,170,68
STANWOOD 4,21011641,SN,NULL,286,119
STANWOOD 5,21011669,SN,NULL,285,93
STANWOOD 6,21011711,SN,NULL,152,61
STANWOOD 7,21011712,SN,NULL,102,72
FLORENCE,21014002,SN,NULL,86,38
PORT SUSAN,21014004,SN,NULL,297,130
CEDARHOME,21014022,SN,NULL,207,93
CLIFF,21014025,SN,NULL,139,85
STANBY,21014030,SN,NULL,75,19
SILVANA,21014037,SN,NULL,143,67
LAKEWOOD,21014061,SN,NULL,187,90
VILLAGE,21014073,SN,NULL,248,179
LAKE GOODWIN,21014087,SN,NULL,313,157
KACKMAN,21014296,SN,NULL,153,75
ROWLAND,21014319,SN,NULL,123,85
THOMPSON,21014323,SN,NULL,218,138
WATERS,21014332,SN,NULL,282,108
MC RAE,21014352,SN,NULL,153,73
HAPPY VALLEY,21014457,SN,NULL,138,76
SHOECRAFT,21014483,SN,NULL,263,103
LAKE HOWARD,21014502,SN,NULL,195,110
MC DONALD,21014545,SN,NULL,161,69
KAYAK,21014638,SN,NULL,192,95
SILVANA TERRACE,21014682,SN,NULL,141,77
KETCHUM,21014700,SN,NULL,197,100
ROSE,21014708,SN,NULL,146,81
SUNDAY LAKE,21014714,SN,NULL,254,143
