Row Label,PrecinctCode,County,Registered Voters,Rochelle Rodak,Joy Culp
Total,-1,FE,NULL,1693,872
BELCHER,101,FE,NULL,70,28
BOYDS,102,FE,NULL,57,47
CURLEW,103,FE,NULL,14,11
HALL CREEK,104,FE,NULL,39,34
INCHELIUM,105,FE,NULL,17,37
KELLER,106,FE,NULL,47,45
KETTLE RIVER,107,FE,NULL,133,49
KEWA,108,FE,NULL,36,44
LAMBERT,109,FE,NULL,61,14
MALO,110,FE,NULL,108,43
ORIENT,111,FE,NULL,51,50
REPUBLIC 1,112,FE,NULL,165,39
REPUBLIC 2,113,FE,NULL,126,67
SAN POIL,114,FE,NULL,178,80
SHERMAN,115,FE,NULL,81,75
SOUTH LAKE,116,FE,NULL,113,33
STORM KING,117,FE,NULL,166,44
TORODA,118,FE,NULL,66,34
TROUT CREEK,119,FE,NULL,165,98
