Row Label,PrecinctCode,County,Registered Voters,Mary E. Fairhurst
Total,-1,AD,NULL,2248
Ritzville Ward #1,111,AD,NULL,61
Ritzville Ward #2,112,AD,NULL,63
Ritzville Ward #3,113,AD,NULL,104
Ritzville Ward #4,114,AD,NULL,77
Ritzville Ward #5,115,AD,NULL,90
Ritzville Rural NW,121,AD,NULL,91
Ritzville Rural SE,122,AD,NULL,76
Batum,123,AD,NULL,52
Benge,211,AD,NULL,14
Washtucna City #1,212,AD,NULL,70
Washtucna Rural,221,AD,NULL,41
Ralston,222,AD,NULL,22
Lind #1,311,AD,NULL,120
Hatton City,313,AD,NULL,15
Lind Rural,321,AD,NULL,45
Fairview,322,AD,NULL,23
Schrag,323,AD,NULL,24
Hatton Rural,324,AD,NULL,25
Cunningham,325,AD,NULL,6
Othello City #1,411,AD,NULL,15
Othello City #2,412,AD,NULL,132
Othello City #3,413,AD,NULL,127
Othello City #4,414,AD,NULL,140
Othello City #5,415,AD,NULL,132
Othello City #6,416,AD,NULL,84
Othello Rural #1,511,AD,NULL,63
Othello Rural #2,512,AD,NULL,77
Othello Rural #3,513,AD,NULL,166
Othello Rural #4,514,AD,NULL,113
Othello Rural #5,515,AD,NULL,69
Othello Rural #6,516,AD,NULL,111
