Row Label,PrecinctCode,County,Registered Voters,Debra L. Stephens,John (Zamboni) Scannell
Olympia 09,209,TH,NULL,353,77
Olympia 10,210,TH,NULL,261,43
Olympia 11,211,TH,NULL,208,35
Olympia 12,212,TH,NULL,96,40
Olympia 13,213,TH,NULL,217,59
Olympia 14,214,TH,NULL,187,46
Olympia 15,215,TH,NULL,173,45
Olympia 16,216,TH,NULL,42,5
Olympia 17,217,TH,NULL,129,46
Olympia 18,218,TH,NULL,210,48
Olympia 19,219,TH,NULL,179,41
Olympia 20,220,TH,NULL,117,27
Olympia 21,221,TH,NULL,326,60
Olympia 23,223,TH,NULL,252,62
Olympia 24,224,TH,NULL,210,47
Olympia 25,225,TH,NULL,166,44
Olympia 26,226,TH,NULL,191,62
Olympia 27,227,TH,NULL,93,30
Olympia 28,228,TH,NULL,240,41
Olympia 29,229,TH,NULL,273,46
Olympia 30,230,TH,NULL,204,34
Olympia 31,231,TH,NULL,183,39
Olympia 32,232,TH,NULL,292,56
Olympia 35,235,TH,NULL,423,55
Olympia 36,236,TH,NULL,84,21
Olympia 37,237,TH,NULL,148,32
Olympia 38,238,TH,NULL,45,21
Olympia 39,239,TH,NULL,218,44
Olympia 40,240,TH,NULL,185,26
Olympia 41,241,TH,NULL,234,51
Olympia 42,242,TH,NULL,155,25
Olympia 43,243,TH,NULL,261,55
Olympia 44,244,TH,NULL,99,33
Olympia 45,245,TH,NULL,114,40
Olympia 46,246,TH,NULL,197,49
Olympia 47,247,TH,NULL,236,65
Olympia 48,248,TH,NULL,254,80
Olympia 49,249,TH,NULL,236,49
Olympia 50,250,TH,NULL,182,29
Olympia 51,251,TH,NULL,47,14
Olympia 52,252,TH,NULL,128,18
Olympia 53,253,TH,NULL,204,39
Olympia 54,254,TH,NULL,149,31
Olympia 55,255,TH,NULL,116,30
Olympia 56,256,TH,NULL,196,41
Olympia 57,257,TH,NULL,88,45
Olympia 58,258,TH,NULL,187,63
Olympia 59,259,TH,NULL,193,43
Olympia 60,260,TH,NULL,131,29
Lacey 01,301,TH,NULL,80,19
Lacey 02,302,TH,NULL,135,45
Lacey 03,303,TH,NULL,178,54
Lacey 04,304,TH,NULL,86,39
Lacey 05,305,TH,NULL,140,31
Lacey 06,306,TH,NULL,71,30
Lacey 07,307,TH,NULL,166,42
Lacey 08,308,TH,NULL,128,35
Lacey 09,309,TH,NULL,100,21
Lacey 10,310,TH,NULL,260,44
Lacey 11,311,TH,NULL,200,48
Lacey 13,313,TH,NULL,93,25
Lacey 14,314,TH,NULL,69,28
Lacey 15,315,TH,NULL,168,63
Lacey 16,316,TH,NULL,216,22
Lacey 17,317,TH,NULL,170,68
Lacey 18,318,TH,NULL,231,58
Lacey 19,319,TH,NULL,128,46
Lacey 20,320,TH,NULL,82,26
Lacey 21,321,TH,NULL,101,27
Lacey 22,322,TH,NULL,119,44
Lacey 23,323,TH,NULL,89,26
Lacey 24,324,TH,NULL,280,80
Lacey 27,327,TH,NULL,179,51
Lacey 28,328,TH,NULL,134,42
Lacey 29,329,TH,NULL,218,72
Lacey 30,330,TH,NULL,274,91
Lacey 31,331,TH,NULL,142,57
Lacey 32,332,TH,NULL,215,59
Lacey 33,333,TH,NULL,114,30
Lacey 34,334,TH,NULL,100,44
Lacey 35,335,TH,NULL,74,22
Lacey 36,336,TH,NULL,122,37
Lacey 37,337,TH,NULL,53,24
Lacey 39,339,TH,NULL,329,68
Lacey 40,340,TH,NULL,231,83
Lacey 41,341,TH,NULL,197,48
Lacey 42,342,TH,NULL,71,15
Lacey 43,343,TH,NULL,241,55
Lacey 44,344,TH,NULL,69,41
Lacey 45,345,TH,NULL,104,28
Lacey 46,346,TH,NULL,480,103
Lacey 47,347,TH,NULL,378,50
Lacey 48,348,TH,NULL,147,32
Lacey 49,349,TH,NULL,128,31
Tumwater 01,401,TH,NULL,145,50
Tumwater 02,402,TH,NULL,199,47
Tumwater 03,403,TH,NULL,227,62
Tumwater 04,404,TH,NULL,122,50
Tumwater 05,405,TH,NULL,140,68
