Row Label,PrecinctCode,County,Registered Voters,Ozzie D. Knezovich,Doug Orr
PCT 3222,3222,SP,NULL,123,74
PCT 3223,3223,SP,NULL,172,113
PCT 3300,3300,SP,NULL,292,159
PCT 3301,3301,SP,NULL,486,161
PCT 3302,3302,SP,NULL,336,133
PCT 3303,3303,SP,NULL,314,133
PCT 3304,3304,SP,NULL,323,136
PCT 3305,3305,SP,NULL,262,108
PCT 3306,3306,SP,NULL,333,135
PCT 3307,3307,SP,NULL,227,101
PCT 3308,3308,SP,NULL,314,148
PCT 3309,3309,SP,NULL,281,147
PCT 3310,3310,SP,NULL,337,125
PCT 3311,3311,SP,NULL,212,81
PCT 3312,3312,SP,NULL,404,164
PCT 3313,3313,SP,NULL,431,190
PCT 3314,3314,SP,NULL,269,119
PCT 3315,3315,SP,NULL,355,153
PCT 3316,3316,SP,NULL,403,148
PCT 3317,3317,SP,NULL,437,196
PCT 3318,3318,SP,NULL,284,134
PCT 3319,3319,SP,NULL,259,135
PCT 3320,3320,SP,NULL,250,94
PCT 3321,3321,SP,NULL,328,153
PCT 3322,3322,SP,NULL,220,124
PCT 3323,3323,SP,NULL,313,133
PCT 3324,3324,SP,NULL,308,119
PCT 3325,3325,SP,NULL,377,151
PCT 3326,3326,SP,NULL,136,46
PCT 3327,3327,SP,NULL,219,96
PCT 3328,3328,SP,NULL,271,142
PCT 3329,3329,SP,NULL,221,118
PCT 4001,4001,SP,NULL,272,90
PCT 4002,4002,SP,NULL,338,158
PCT 4003,4003,SP,NULL,501,215
PCT 4004,4004,SP,NULL,408,161
PCT 4005,4005,SP,NULL,301,130
PCT 4006,4006,SP,NULL,442,197
PCT 4007,4007,SP,NULL,252,119
PCT 4008,4008,SP,NULL,240,120
PCT 4009,4009,SP,NULL,353,131
PCT 4010,4010,SP,NULL,322,128
PCT 4011,4011,SP,NULL,492,177
PCT 4012,4012,SP,NULL,507,262
PCT 4013,4013,SP,NULL,303,130
PCT 4014,4014,SP,NULL,225,95
PCT 4015,4015,SP,NULL,259,100
PCT 4016,4016,SP,NULL,360,145
PCT 4017,4017,SP,NULL,428,159
PCT 4018,4018,SP,NULL,224,115
PCT 4019,4019,SP,NULL,244,133
PCT 4020,4020,SP,NULL,370,181
PCT 4021,4021,SP,NULL,355,151
PCT 4022,4022,SP,NULL,307,141
PCT 4023,4023,SP,NULL,149,40
PCT 4024,4024,SP,NULL,250,103
PCT 4025,4025,SP,NULL,347,115
PCT 4026,4026,SP,NULL,264,143
PCT 4027,4027,SP,NULL,296,131
PCT 4028,4028,SP,NULL,457,174
PCT 4029,4029,SP,NULL,337,133
PCT 4030,4030,SP,NULL,245,105
PCT 4031,4031,SP,NULL,303,122
PCT 4032,4032,SP,NULL,210,103
PCT 4033,4033,SP,NULL,295,87
PCT 4034,4034,SP,NULL,246,128
PCT 4035,4035,SP,NULL,249,84
PCT 4200,4200,SP,NULL,277,97
PCT 4201,4201,SP,NULL,149,65
PCT 4300,4300,SP,NULL,283,120
PCT 4301,4301,SP,NULL,170,78
PCT 4302,4302,SP,NULL,361,115
PCT 4303,4303,SP,NULL,375,126
PCT 4304,4304,SP,NULL,238,97
PCT 4305,4305,SP,NULL,221,97
PCT 4306,4306,SP,NULL,372,135
PCT 4307,4307,SP,NULL,64,32
PCT 4400,4400,SP,NULL,337,118
PCT 4401,4401,SP,NULL,384,154
PCT 4402,4402,SP,NULL,300,130
PCT 4403,4403,SP,NULL,362,164
PCT 4404,4404,SP,NULL,384,154
PCT 4405,4405,SP,NULL,357,172
PCT 4406,4406,SP,NULL,306,146
PCT 4407,4407,SP,NULL,355,146
PCT 4408,4408,SP,NULL,463,187
PCT 4409,4409,SP,NULL,507,203
PCT 4410,4410,SP,NULL,396,174
PCT 4411,4411,SP,NULL,382,138
PCT 4412,4412,SP,NULL,275,102
PCT 4413,4413,SP,NULL,306,161
PCT 4414,4414,SP,NULL,369,201
PCT 4415,4415,SP,NULL,311,109
PCT 4416,4416,SP,NULL,305,159
PCT 4417,4417,SP,NULL,203,97
PCT 4418,4418,SP,NULL,354,127
PCT 4419,4419,SP,NULL,357,148
PCT 4420,4420,SP,NULL,146,68
PCT 4421,4421,SP,NULL,253,117
PCT 4422,4422,SP,NULL,357,151
PCT 4423,4423,SP,NULL,443,222
PCT 4424,4424,SP,NULL,310,168
PCT 4425,4425,SP,NULL,245,129
PCT 4426,4426,SP,NULL,229,63
PCT 4427,4427,SP,NULL,410,200
PCT 4428,4428,SP,NULL,213,134
PCT 4429,4429,SP,NULL,372,176
PCT 4430,4430,SP,NULL,368,169
PCT 4431,4431,SP,NULL,267,147
PCT 4432,4432,SP,NULL,321,194
PCT 4433,4433,SP,NULL,223,117
PCT 4434,4434,SP,NULL,500,217
PCT 4435,4435,SP,NULL,393,150
PCT 4436,4436,SP,NULL,475,222
PCT 4437,4437,SP,NULL,362,189
PCT 4438,4438,SP,NULL,424,229
PCT 4439,4439,SP,NULL,353,145
PCT 4440,4440,SP,NULL,360,170
PCT 4441,4441,SP,NULL,243,119
PCT 4442,4442,SP,NULL,223,123
PCT 4443,4443,SP,NULL,191,88
PCT 4444,4444,SP,NULL,373,154
PCT 4445,4445,SP,NULL,280,151
PCT 4446,4446,SP,NULL,199,79
PCT 4447,4447,SP,NULL,156,75
PCT 4448,4448,SP,NULL,237,146
PCT 4449,4449,SP,NULL,200,88
PCT 4450,4450,SP,NULL,164,80
PCT 4451,4451,SP,NULL,236,137
PCT 4452,4452,SP,NULL,252,125
PCT 4453,4453,SP,NULL,336,156
PCT 4454,4454,SP,NULL,240,103
PCT 4455,4455,SP,NULL,296,94
PCT 6000,6000,SP,NULL,273,99
PCT 6001,6001,SP,NULL,331,128
PCT 6002,6002,SP,NULL,92,41
PCT 6003,6003,SP,NULL,407,159
PCT 6004,6004,SP,NULL,271,90
PCT 6005,6005,SP,NULL,318,121
PCT 6006,6006,SP,NULL,356,120
PCT 6007,6007,SP,NULL,327,109
PCT 6008,6008,SP,NULL,269,118
PCT 6009,6009,SP,NULL,266,111
PCT 6010,6010,SP,NULL,47,14
PCT 6011,6011,SP,NULL,290,103
PCT 6012,6012,SP,NULL,205,96
PCT 6013,6013,SP,NULL,229,123
PCT 6014,6014,SP,NULL,191,81
PCT 6015,6015,SP,NULL,197,87
PCT 6016,6016,SP,NULL,205,111
PCT 6017,6017,SP,NULL,623,172
PCT 6018,6018,SP,NULL,534,123
PCT 6019,6019,SP,NULL,503,155
PCT 6020,6020,SP,NULL,543,160
PCT 6021,6021,SP,NULL,332,114
PCT 6022,6022,SP,NULL,379,114
PCT 6023,6023,SP,NULL,225,60
PCT 6024,6024,SP,NULL,231,76
PCT 6025,6025,SP,NULL,229,130
PCT 6026,6026,SP,NULL,525,166
PCT 6027,6027,SP,NULL,364,101
PCT 6028,6028,SP,NULL,291,88
PCT 6029,6029,SP,NULL,336,117
PCT 6030,6030,SP,NULL,457,201
PCT 6031,6031,SP,NULL,276,88
PCT 6032,6032,SP,NULL,237,57
PCT 6033,6033,SP,NULL,549,170
PCT 6034,6034,SP,NULL,345,192
PCT 6035,6035,SP,NULL,188,117
PCT 6036,6036,SP,NULL,238,71
PCT 6037,6037,SP,NULL,195,82
PCT 6100,6100,SP,NULL,196,77
PCT 6101,6101,SP,NULL,292,104
PCT 6102,6102,SP,NULL,290,121
PCT 6103,6103,SP,NULL,119,44
PCT 6104,6104,SP,NULL,214,92
PCT 6105,6105,SP,NULL,276,91
PCT 6106,6106,SP,NULL,389,138
PCT 6107,6107,SP,NULL,210,102
PCT 6108,6108,SP,NULL,240,84
PCT 6109,6109,SP,NULL,184,67
PCT 6200,6200,SP,NULL,412,174
PCT 6201,6201,SP,NULL,285,144
PCT 6202,6202,SP,NULL,313,170
PCT 6203,6203,SP,NULL,354,212
PCT 6204,6204,SP,NULL,445,229
PCT 6205,6205,SP,NULL,393,176
PCT 6206,6206,SP,NULL,363,208
PCT 6207,6207,SP,NULL,476,137
PCT 6208,6208,SP,NULL,437,149
PCT 6209,6209,SP,NULL,293,155
PCT 6210,6210,SP,NULL,482,121
PCT 6211,6211,SP,NULL,257,110
PCT 6212,6212,SP,NULL,201,97
PCT 6213,6213,SP,NULL,403,148
PCT 6214,6214,SP,NULL,313,117
PCT 6215,6215,SP,NULL,385,176
PCT 6216,6216,SP,NULL,363,122
PCT 6217,6217,SP,NULL,392,159
PCT 6218,6218,SP,NULL,373,122
PCT 6219,6219,SP,NULL,409,141
PCT 6220,6220,SP,NULL,422,162
PCT 6221,6221,SP,NULL,431,213
PCT 6222,6222,SP,NULL,361,75
PCT 6223,6223,SP,NULL,477,114
PCT 6224,6224,SP,NULL,365,121
PCT 6225,6225,SP,NULL,446,129
PCT 6300,6300,SP,NULL,595,177
PCT 6301,6301,SP,NULL,554,193
PCT 6302,6302,SP,NULL,258,94
PCT 6303,6303,SP,NULL,499,217
PCT 6304,6304,SP,NULL,476,177
