Row Label,PrecinctCode,County,Registered Voters,Matt Manweller
Total,-1,KS,NULL,8934
CLE ELUM 1,1,KS,NULL,135
CLE ELUM 2,2,KS,NULL,86
CLE ELUM 3,3,KS,NULL,40
CLE ELUM 4,4,KS,NULL,204
DENMARK,5,KS,NULL,376
EAST SANDERS,6,KS,NULL,269
EASTON,7,KS,NULL,276
ELLENSBURG 1,8,KS,NULL,34
ELLENSBURG 2,9,KS,NULL,39
ELLENSBURG 4,11,KS,NULL,27
ELLENSBURG 5,12,KS,NULL,48
ELLENSBURG 6,13,KS,NULL,40
ELLENSBURG 7,14,KS,NULL,38
ELLENSBURG 8,15,KS,NULL,61
ELLENSBURG 9,16,KS,NULL,65
ELLENSBURG 10,17,KS,NULL,84
ELLENSBURG 11,18,KS,NULL,88
ELLENSBURG 12,19,KS,NULL,62
ELLENSBURG 13,20,KS,NULL,53
ELLENSBURG 14,21,KS,NULL,86
ELLENSBURG 15,22,KS,NULL,113
ELLENSBURG 16,23,KS,NULL,176
ELLENSBURG 17,24,KS,NULL,137
ELLENSBURG 18,25,KS,NULL,28
ELLENSBURG 19,26,KS,NULL,197
ELLENSBURG 20,27,KS,NULL,54
ELLENSBURG 21,28,KS,NULL,87
ELLENSBURG 22,29,KS,NULL,129
ELLENSBURG 23,30,KS,NULL,150
ELLENSBURG 24,31,KS,NULL,277
HYAK,32,KS,NULL,71
KITTITAS 1,33,KS,NULL,107
MANASTASH,34,KS,NULL,199
MOUNTAIN,35,KS,NULL,95
NORTH CENTRAL,36,KS,NULL,210
NORTH ELLENSBURG,37,KS,NULL,326
PARK,38,KS,NULL,289
PEOH POINT,39,KS,NULL,241
RIDGEWAY,40,KS,NULL,366
ROSLYN 1,41,KS,NULL,107
ROSLYN 2,42,KS,NULL,69
DRY CREEK,43,KS,NULL,303
WESTSIDE,44,KS,NULL,310
ROSLYN OUTLYING,45,KS,NULL,43
SANDERS,46,KS,NULL,101
SOUTH CLE ELUM,47,KS,NULL,141
SOUTH ELLENSBURG,48,KS,NULL,317
SWAUK,50,KS,NULL,163
TEANAWAY,51,KS,NULL,244
THORP,52,KS,NULL,244
VANTAGE,53,KS,NULL,23
FAIRVIEW,54,KS,NULL,166
NORTHEAST FAIRVIEW,55,KS,NULL,279
THRALL,56,KS,NULL,243
DAMMAN,58,KS,NULL,259
KACHESS,59,KS,NULL,70
KITTITAS 2,60,KS,NULL,126
ELLENSBURG 25,61,KS,NULL,256
RONALD,62,KS,NULL,107
