Row Label,PrecinctCode,County,Registered Voters,Larry Haskell,Breean L. Beggs
Total,-1,SP,NULL,87548,59129
PCT 3000(*),3000,SP,NULL,0,0
PCT 3100(*),3100,SP,NULL,0,0
PCT 3101,3101,SP,NULL,154,158
PCT 3102,3102,SP,NULL,119,113
PCT 3103,3103,SP,NULL,129,141
PCT 3104,3104,SP,NULL,183,206
PCT 3105,3105,SP,NULL,131,193
PCT 3106,3106,SP,NULL,165,178
PCT 3107,3107,SP,NULL,189,196
PCT 3108,3108,SP,NULL,155,126
PCT 3109,3109,SP,NULL,168,166
PCT 3110,3110,SP,NULL,142,140
PCT 3111,3111,SP,NULL,138,144
PCT 3112,3112,SP,NULL,13,7
PCT 3113,3113,SP,NULL,214,188
PCT 3114,3114,SP,NULL,189,205
PCT 3115,3115,SP,NULL,190,204
PCT 3116,3116,SP,NULL,229,194
PCT 3117,3117,SP,NULL,131,149
PCT 3118,3118,SP,NULL,114,165
PCT 3119,3119,SP,NULL,149,178
PCT 3120,3120,SP,NULL,169,198
PCT 3121,3121,SP,NULL,175,180
PCT 3122,3122,SP,NULL,206,273
PCT 3123,3123,SP,NULL,179,162
PCT 3124,3124,SP,NULL,177,193
PCT 3125,3125,SP,NULL,153,194
PCT 3126,3126,SP,NULL,44,34
PCT 3127,3127,SP,NULL,136,219
PCT 3128,3128,SP,NULL,171,193
PCT 3200,3200,SP,NULL,112,242
PCT 3201,3201,SP,NULL,166,331
PCT 3202,3202,SP,NULL,115,156
PCT 3203,3203,SP,NULL,142,275
PCT 3204,3204,SP,NULL,120,223
PCT 3205,3205,SP,NULL,161,232
PCT 3206,3206,SP,NULL,101,236
PCT 3207,3207,SP,NULL,98,135
PCT 3208,3208,SP,NULL,191,237
PCT 3209,3209,SP,NULL,262,258
PCT 3210,3210,SP,NULL,143,278
PCT 3211,3211,SP,NULL,149,298
PCT 3212,3212,SP,NULL,140,242
PCT 3213,3213,SP,NULL,197,341
PCT 3214,3214,SP,NULL,224,257
PCT 3215,3215,SP,NULL,115,196
PCT 3216,3216,SP,NULL,261,367
PCT 3217,3217,SP,NULL,296,276
PCT 3218,3218,SP,NULL,265,329
PCT 3219,3219,SP,NULL,236,225
PCT 3220,3220,SP,NULL,287,290
PCT 3221,3221,SP,NULL,296,237
PCT 3222,3222,SP,NULL,68,170
PCT 3223,3223,SP,NULL,91,230
PCT 3300,3300,SP,NULL,303,128
PCT 3301,3301,SP,NULL,373,251
PCT 3302,3302,SP,NULL,266,200
PCT 3303,3303,SP,NULL,225,213
PCT 3304,3304,SP,NULL,252,201
PCT 3305,3305,SP,NULL,190,181
PCT 3306,3306,SP,NULL,279,182
PCT 3307,3307,SP,NULL,186,141
PCT 3308,3308,SP,NULL,238,222
PCT 3309,3309,SP,NULL,227,207
