Row Label,PrecinctCode,County,Registered Voters,Mary E. Fairhurst
Total,-1,WL,NULL,12303
Alderbrook 01,1,WL,NULL,150
Alder 02,2,WL,NULL,124
Ash 03,3,WL,NULL,279
Baumeister 04,4,WL,NULL,269
Birch 05,5,WL,NULL,160
Clark 06,6,WL,NULL,122
College 07,7,WL,NULL,187
Edison 08,8,WL,NULL,205
Garfield 09,9,WL,NULL,229
Green Park 10,10,WL,NULL,132
Henderson 11,11,WL,NULL,180
Isaacs 12,12,WL,NULL,135
Jefferson 13,13,WL,NULL,376
Maple 16,16,WL,NULL,373
Marcus 17,17,WL,NULL,472
Monroe 18,18,WL,NULL,416
Paine 20,20,WL,NULL,96
Pine 21,21,WL,NULL,134
Pleasant 22,22,WL,NULL,365
Sharpstein 23,23,WL,NULL,171
Spruce 24,24,WL,NULL,150
Stadium 25,25,WL,NULL,166
Tausick 26,26,WL,NULL,172
Wainwright 28,28,WL,NULL,327
Watertown 29,29,WL,NULL,162
Abbott 31,31,WL,NULL,219
Baker 33,33,WL,NULL,63
Ice Harbor 34,34,WL,NULL,291
Berney 35,35,WL,NULL,183
Blalock 36,36,WL,NULL,315
Braden 37,37,WL,NULL,321
Burbank 38,38,WL,NULL,395
Clyde 39,39,WL,NULL,21
Derry 40,40,WL,NULL,110
Dixie 41,41,WL,NULL,170
Eureka 5 42,42,WL,NULL,46
Eureka 4 43,43,WL,NULL,2
Frenchtown 5 44,44,WL,NULL,134
Frenchtown 4 45,45,WL,NULL,36
Garrison 46,46,WL,NULL,159
Gose 47,47,WL,NULL,82
Lincoln 49,49,WL,NULL,43
Mill Creek 50,50,WL,NULL,165
Moore 51,51,WL,NULL,160
Pros Point 52,52,WL,NULL,625
Ritz 53,53,WL,NULL,376
McNary 54,54,WL,NULL,175
Touchet 4 55,55,WL,NULL,224
Touchet 5 56,56,WL,NULL,4
Twin Grove 57,57,WL,NULL,158
Yellowhawk 58,58,WL,NULL,24
Wallula 59,59,WL,NULL,20
Washington 60,60,WL,NULL,106
CP 1 61,61,WL,NULL,368
CP 2 62,62,WL,NULL,272
CP 3 63,63,WL,NULL,332
Prescott 64,64,WL,NULL,67
Waitsburg 65,65,WL,NULL,344
CP 4 66,66,WL,NULL,395
CP 5 67,67,WL,NULL,293
CP 6 68,68,WL,NULL,53
