Row Label,PrecinctCode,County,Registered Voters,Al French,Mary Lou Johnson
Total,-1,SP,NULL,81528,67636
PCT 3000,3000,SP,NULL,3,4
PCT 3100,3100,SP,NULL,161,190
PCT 3101,3101,SP,NULL,141,179
PCT 3102,3102,SP,NULL,102,134
PCT 3103,3103,SP,NULL,125,149
PCT 3104,3104,SP,NULL,180,213
PCT 3105,3105,SP,NULL,126,207
PCT 3106,3106,SP,NULL,167,185
PCT 3107,3107,SP,NULL,178,207
PCT 3108,3108,SP,NULL,151,130
PCT 3109,3109,SP,NULL,150,194
PCT 3110,3110,SP,NULL,135,151
PCT 3111,3111,SP,NULL,133,153
PCT 3112,3112,SP,NULL,12,10
PCT 3113,3113,SP,NULL,188,225
PCT 3114,3114,SP,NULL,199,207
PCT 3115,3115,SP,NULL,173,228
PCT 3116,3116,SP,NULL,199,230
PCT 3117,3117,SP,NULL,129,152
PCT 3118,3118,SP,NULL,111,180
PCT 3119,3119,SP,NULL,141,197
PCT 3120,3120,SP,NULL,159,221
PCT 3121,3121,SP,NULL,190,171
PCT 3122,3122,SP,NULL,204,289
PCT 3123,3123,SP,NULL,168,176
PCT 3124,3124,SP,NULL,177,209
PCT 3125,3125,SP,NULL,153,196
PCT 3126,3126,SP,NULL,46,33
PCT 3127,3127,SP,NULL,128,240
PCT 3128,3128,SP,NULL,139,230
PCT 3200,3200,SP,NULL,108,256
PCT 3201,3201,SP,NULL,154,347
PCT 3202,3202,SP,NULL,99,169
PCT 3203,3203,SP,NULL,128,297
PCT 3204,3204,SP,NULL,100,250
PCT 3205,3205,SP,NULL,148,244
PCT 3206,3206,SP,NULL,85,263
PCT 3207,3207,SP,NULL,89,144
PCT 3208,3208,SP,NULL,185,246
PCT 3209,3209,SP,NULL,232,289
PCT 3210,3210,SP,NULL,131,311
PCT 3211,3211,SP,NULL,131,321
PCT 3212,3212,SP,NULL,141,253
PCT 3213,3213,SP,NULL,182,364
PCT 3214,3214,SP,NULL,190,292
PCT 3215,3215,SP,NULL,113,210
PCT 3216,3216,SP,NULL,241,396
PCT 3217,3217,SP,NULL,298,306
PCT 3218,3218,SP,NULL,241,358
PCT 3219,3219,SP,NULL,207,258
PCT 3220,3220,SP,NULL,253,328
PCT 3221,3221,SP,NULL,274,270
PCT 3222,3222,SP,NULL,66,176
PCT 3223,3223,SP,NULL,75,242
PCT 3300,3300,SP,NULL,283,165
PCT 3301,3301,SP,NULL,331,310
PCT 3302,3302,SP,NULL,244,228
PCT 3303,3303,SP,NULL,205,243
PCT 3304,3304,SP,NULL,205,249
PCT 3305,3305,SP,NULL,167,214
PCT 3306,3306,SP,NULL,242,222
PCT 3307,3307,SP,NULL,157,179
PCT 3308,3308,SP,NULL,208,255
PCT 3309,3309,SP,NULL,181,254
PCT 3310,3310,SP,NULL,232,248
PCT 3311,3311,SP,NULL,163,138
PCT 3312,3312,SP,NULL,284,294
PCT 3313,3313,SP,NULL,312,306
PCT 3314,3314,SP,NULL,188,207
PCT 3315,3315,SP,NULL,231,292
PCT 3316,3316,SP,NULL,220,354
PCT 3317,3317,SP,NULL,287,371
PCT 3318,3318,SP,NULL,179,247
PCT 3319,3319,SP,NULL,189,213
PCT 3320,3320,SP,NULL,147,213
PCT 3321,3321,SP,NULL,220,289
PCT 3322,3322,SP,NULL,157,215
PCT 3323,3323,SP,NULL,182,282
PCT 3324,3324,SP,NULL,168,268
PCT 3325,3325,SP,NULL,183,368
PCT 3326,3326,SP,NULL,63,121
PCT 3327,3327,SP,NULL,136,199
PCT 3328,3328,SP,NULL,144,312
PCT 3329,3329,SP,NULL,106,260
PCT 4001,4001,SP,NULL,229,131
PCT 4002,4002,SP,NULL,347,159
PCT 4003,4003,SP,NULL,472,236
PCT 4004,4004,SP,NULL,376,171
PCT 4005,4005,SP,NULL,283,154
PCT 4006,4006,SP,NULL,409,238
PCT 4007,4007,SP,NULL,226,147
PCT 4008,4008,SP,NULL,250,111
PCT 4009,4009,SP,NULL,325,161
PCT 4010,4010,SP,NULL,289,172
PCT 4011,4011,SP,NULL,451,222
PCT 4012,4012,SP,NULL,509,241
PCT 4013,4013,SP,NULL,302,144
PCT 4014,4014,SP,NULL,178,147
PCT 4015,4015,SP,NULL,225,145
PCT 4016,4016,SP,NULL,307,216
PCT 4017,4017,SP,NULL,342,254
PCT 4018,4018,SP,NULL,201,136
PCT 4019,4019,SP,NULL,216,146
PCT 4020,4020,SP,NULL,328,210
PCT 4021,4021,SP,NULL,309,196
PCT 4022,4022,SP,NULL,254,184
PCT 4023,4023,SP,NULL,122,63
PCT 4024,4024,SP,NULL,225,144
PCT 4025,4025,SP,NULL,310,151
PCT 4026,4026,SP,NULL,308,107
PCT 4027,4027,SP,NULL,307,128
