Row Label,PrecinctCode,County,Registered Voters,Linda Enlow,Yvonne L. Pettus
Total,-1,TH,NULL,34933,27913
Cougar Mountain,28,TH,NULL,32,32
Clear Lake,30,TH,NULL,241,142
Lackamas,31,TH,NULL,54,46
Morris,32,TH,NULL,162,129
Evergreen Ballroom,33,TH,NULL,180,140
Trails End,34,TH,NULL,268,200
Kaiser,35,TH,NULL,71,64
Rich(*),36,TH,NULL,0,0
Delta(*),38,TH,NULL,0,0
Jones Beach,39,TH,NULL,97,61
Simmons 9(*),42,TH,NULL,0,0
University North,43,TH,NULL,57,38
Steamboat Island,44,TH,NULL,115,113
Rocky Prairie,45,TH,NULL,100,84
Lawrence Lake,46,TH,NULL,213,130
Woodard Creek,47,TH,NULL,143,85
Michigan Hill,48,TH,NULL,80,64
Scott Lake South,49,TH,NULL,123,80
Salmon Creek,50,TH,NULL,94,76
Spurgeon Creek,51,TH,NULL,56,62
James,52,TH,NULL,138,72
Vail,53,TH,NULL,154,151
Rochester 5,54,TH,NULL,145,112
Rochester 4,55,TH,NULL,100,107
Medicine Creek,57,TH,NULL,66,44
Skokomish,58,TH,NULL,135,83
Pleasant Hill,59,TH,NULL,148,125
Smith Prairie,60,TH,NULL,160,110
Black River,62,TH,NULL,187,210
Ames,63,TH,NULL,127,117
Airport,64,TH,NULL,13,12
Luhr Beach,65,TH,NULL,186,116
Fish Trap,66,TH,NULL,132,86
Quince(*),67,TH,NULL,0,0
Simmons 2(*),68,TH,NULL,0,0
Simmons 3,69,TH,NULL,7,2
Simmons 4,70,TH,NULL,7,8
Pines,74,TH,NULL,125,61
Long Lake,75,TH,NULL,41,22
Hawk Acres,76,TH,NULL,100,82
Zenkner Valley,77,TH,NULL,24,23
Tri Lakes,78,TH,NULL,76,69
University South,79,TH,NULL,80,64
Tolmie,80,TH,NULL,57,48
Military,81,TH,NULL,66,62
Glen Terra,82,TH,NULL,57,27
Prine,83,TH,NULL,33,17
Glenwood,84,TH,NULL,52,51
Greenridge,86,TH,NULL,93,74
Woodland,88,TH,NULL,122,111
Tilley,89,TH,NULL,183,130
Sweet Briar,90,TH,NULL,190,180
Deerbrush,91,TH,NULL,165,119
Mushroom Corner,92,TH,NULL,147,107
Trailblazer,93,TH,NULL,53,40
Frye Cove,94,TH,NULL,160,136
Oyster Bay,95,TH,NULL,157,140
Summit Lake,96,TH,NULL,98,112
Delridge,97,TH,NULL,41,30
Marvin,98,TH,NULL,159,139
Alpine,99,TH,NULL,219,220
Hewitt Lake,100,TH,NULL,186,144
Zangle,101,TH,NULL,154,120
Boston Harbor,102,TH,NULL,215,123
Gull Harbor,103,TH,NULL,95,93
Friendly Grove,104,TH,NULL,73,86
South Bay,105,TH,NULL,186,144
Puget,106,TH,NULL,187,141
Bigelow,107,TH,NULL,140,109
Pleasant Glade,109,TH,NULL,85,92
Montgomery,110,TH,NULL,98,45
Nisqually,111,TH,NULL,131,72
Roosevelt,112,TH,NULL,193,125
Kinwood,113,TH,NULL,128,94
Mckinley,114,TH,NULL,53,41
Forest,115,TH,NULL,204,168
St Clair,116,TH,NULL,123,135
Hicks,117,TH,NULL,28,16
Fleetwood,118,TH,NULL,179,160
Lydia Hawk,119,TH,NULL,243,184
Hays,120,TH,NULL,95,105
Indian Summer,121,TH,NULL,162,144
Chambers,122,TH,NULL,227,194
Freedom,123,TH,NULL,189,165
Fristoe,124,TH,NULL,92,77
Deschutes,125,TH,NULL,180,115
Longmire,126,TH,NULL,95,69
Ruth Prairie,127,TH,NULL,66,54
Weir Prairie,128,TH,NULL,150,100
College,129,TH,NULL,18,22
Bald Hills,130,TH,NULL,42,43
Hunter Point,131,TH,NULL,83,83
Griffin,132,TH,NULL,140,111
Schneiders Prairie,133,TH,NULL,106,107
Cooper Point,134,TH,NULL,144,126
Butler Cove,135,TH,NULL,116,134
Broadway,136,TH,NULL,211,137
Plainview,139,TH,NULL,222,188
Mud Bay,140,TH,NULL,136,132
Mclane,141,TH,NULL,87,115
Bush Prairie,143,TH,NULL,45,29
Black Lake,144,TH,NULL,185,152
Delphi,145,TH,NULL,119,129
South Union,146,TH,NULL,174,167
Plumb,147,TH,NULL,170,128
Scatter Creek,148,TH,NULL,103,86
Mcintosh,149,TH,NULL,248,207
Violet Prairie,150,TH,NULL,190,107
Littlerock,151,TH,NULL,221,201
Rochester 1,153,TH,NULL,171,140
Rochester 2,154,TH,NULL,128,106
Scott Lake North,155,TH,NULL,75,49
Grand Mound,156,TH,NULL,63,54
Gibson Valley,157,TH,NULL,20,9
Skookumchuck,158,TH,NULL,156,104
Johnson Point,160,TH,NULL,210,135
Wards,161,TH,NULL,66,59
Thompson,162,TH,NULL,98,66
Smith Lake,163,TH,NULL,145,134
Evergreen Shores,164,TH,NULL,133,97
Sunwood Lakes,165,TH,NULL,219,180
Eaton Creek,166,TH,NULL,81,83
Hawks Ridge,167,TH,NULL,58,51
Holmes,168,TH,NULL,126,105
Mcallister Creek,169,TH,NULL,124,88
Rochester 3,170,TH,NULL,143,105
Waddell Creek,171,TH,NULL,115,105
Tykle Cove,172,TH,NULL,138,132
Camelot,173,TH,NULL,94,75
French,174,TH,NULL,148,151
Sunset Beach,175,TH,NULL,177,158
Henderson,176,TH,NULL,203,163
Pattison,178,TH,NULL,181,113
