Row Label,PrecinctCode,County,Registered Voters,Yes,No
Olympia 10,210,TH,NULL,219,150
Olympia 11,211,TH,NULL,144,141
Olympia 12,212,TH,NULL,110,61
Olympia 13,213,TH,NULL,200,131
Olympia 14,214,TH,NULL,166,117
Olympia 15,215,TH,NULL,162,109
Olympia 16,216,TH,NULL,31,23
Olympia 17,217,TH,NULL,121,90
Olympia 18,218,TH,NULL,200,118
Olympia 19,219,TH,NULL,150,120
Olympia 20,220,TH,NULL,119,55
Olympia 21,221,TH,NULL,241,210
Olympia 23,223,TH,NULL,246,144
Olympia 24,224,TH,NULL,169,134
Olympia 25,225,TH,NULL,111,137
Olympia 26,226,TH,NULL,181,129
Olympia 27,227,TH,NULL,83,66
Olympia 28,228,TH,NULL,214,149
Olympia 29,229,TH,NULL,176,207
Olympia 30,230,TH,NULL,178,98
Olympia 31,231,TH,NULL,125,169
Olympia 32,232,TH,NULL,219,197
Olympia 35,235,TH,NULL,295,313
Olympia 36,236,TH,NULL,90,36
Olympia 37,237,TH,NULL,108,117
Olympia 38,238,TH,NULL,58,23
Olympia 39,239,TH,NULL,171,159
Olympia 40,240,TH,NULL,140,138
Olympia 41,241,TH,NULL,168,174
Olympia 42,242,TH,NULL,126,101
Olympia 43,243,TH,NULL,231,160
Olympia 44,244,TH,NULL,128,43
Olympia 45,245,TH,NULL,127,69
Olympia 46,246,TH,NULL,174,142
Olympia 47,247,TH,NULL,201,195
Olympia 48,248,TH,NULL,218,212
Olympia 49,249,TH,NULL,236,108
Olympia 50,250,TH,NULL,178,82
Olympia 51,251,TH,NULL,35,44
Olympia 52,252,TH,NULL,111,68
Olympia 53,253,TH,NULL,166,116
Olympia 54,254,TH,NULL,126,78
Olympia 55,255,TH,NULL,116,66
Olympia 56,256,TH,NULL,159,132
Olympia 57,257,TH,NULL,112,61
Olympia 58,258,TH,NULL,205,113
Olympia 59,259,TH,NULL,145,140
Olympia 60,260,TH,NULL,117,84
Lacey 01,301,TH,NULL,87,45
Lacey 02,302,TH,NULL,121,102
Lacey 03,303,TH,NULL,137,147
Lacey 04,304,TH,NULL,93,69
Lacey 05,305,TH,NULL,91,118
Lacey 06,306,TH,NULL,72,45
Lacey 07,307,TH,NULL,139,126
Lacey 08,308,TH,NULL,108,88
Lacey 09,309,TH,NULL,97,51
Lacey 10,310,TH,NULL,226,166
Lacey 11,311,TH,NULL,156,142
Lacey 13,313,TH,NULL,77,84
Lacey 14,314,TH,NULL,67,41
Lacey 15,315,TH,NULL,154,156
Lacey 16,316,TH,NULL,156,119
Lacey 17,317,TH,NULL,159,156
Lacey 18,318,TH,NULL,177,171
Lacey 19,319,TH,NULL,121,96
Lacey 20,320,TH,NULL,72,56
Lacey 21,321,TH,NULL,92,68
Lacey 22,322,TH,NULL,111,105
Lacey 23,323,TH,NULL,72,72
Lacey 24,324,TH,NULL,211,223
Lacey 27,327,TH,NULL,141,144
Lacey 28,328,TH,NULL,87,128
Lacey 29,329,TH,NULL,204,133
Lacey 30,330,TH,NULL,233,224
Lacey 31,331,TH,NULL,138,119
Lacey 32,332,TH,NULL,172,169
Lacey 33,333,TH,NULL,91,87
Lacey 34,334,TH,NULL,95,70
Lacey 35,335,TH,NULL,59,62
Lacey 36,336,TH,NULL,122,87
Lacey 37,337,TH,NULL,58,35
Lacey 39,339,TH,NULL,282,206
Lacey 40,340,TH,NULL,212,170
Lacey 41,341,TH,NULL,145,159
Lacey 42,342,TH,NULL,59,45
Lacey 43,343,TH,NULL,210,173
Lacey 44,344,TH,NULL,76,66
Lacey 45,345,TH,NULL,91,71
Lacey 46,346,TH,NULL,330,404
Lacey 47,347,TH,NULL,207,335
Lacey 48,348,TH,NULL,99,136
Lacey 49,349,TH,NULL,89,104
Tumwater 01,401,TH,NULL,140,105
Tumwater 02,402,TH,NULL,168,140
Tumwater 03,403,TH,NULL,183,177
Tumwater 04,404,TH,NULL,111,91
Tumwater 05,405,TH,NULL,141,110
Tumwater 06,406,TH,NULL,251,303
Tumwater 07,407,TH,NULL,127,161
Tumwater 08,408,TH,NULL,203,180
Tumwater 09,409,TH,NULL,102,130
Tumwater 10,410,TH,NULL,222,182
Tumwater 11,411,TH,NULL,212,284
Tumwater 12,412,TH,NULL,178,152
Tumwater 13,413,TH,NULL,76,60
Tumwater 14,414,TH,NULL,89,77
Tumwater 15,415,TH,NULL,205,204
Tumwater 24,424,TH,NULL,118,137
Tumwater 27,427,TH,NULL,166,178
Tumwater 28,428,TH,NULL,214,269
Tumwater 29,429,TH,NULL,0,0
Tenino 01,501,TH,NULL,105,99
Tenino 02,502,TH,NULL,115,116
Rainier 01,601,TH,NULL,125,159
Rainier 02,602,TH,NULL,103,109
Yelm 1,701,TH,NULL,157,153
Yelm 2,702,TH,NULL,168,142
Yelm 3,703,TH,NULL,198,153
Yelm 4,704,TH,NULL,211,165
Bucoda,801,TH,NULL,89,57
