Row Label,PrecinctCode,County,Registered Voters,Kathy Haigh,Dan Griffey
Total,-1,KP,NULL,5917,6719
BREMERTON 007,100007,KP,NULL,5,5
BREMERTON 012,100012,KP,NULL,74,32
BREMERTON 013,100013,KP,NULL,242,141
BREMERTON 029,100029,KP,NULL,237,149
BREMERTON 030,100030,KP,NULL,227,166
BREMERTON 031,100031,KP,NULL,119,106
BREMERTON 032,100032,KP,NULL,42,20
BREMERTON 037,100037,KP,NULL,281,298
UELAND 082,100082,KP,NULL,0,0
ROCKY POINT 083,100083,KP,NULL,325,286
RIDGEWAY 084,100084,KP,NULL,53,81
KITSAP LAKE 085(*),100085,KP,NULL,0,0
POWERLINE 086(*),100086,KP,NULL,0,0
BAYVIEW 087,100087,KP,NULL,76,59
BREMERTON 088,100088,KP,NULL,38,38
BREMERTON 107,100107,KP,NULL,0,0
BREMERTON 109,100109,KP,NULL,21,18
CHARLAND 110,100110,KP,NULL,172,205
ALPINE 111,100111,KP,NULL,185,218
HERITAGE PARK 112,100112,KP,NULL,171,191
COUNTRY CLUB 113,100113,KP,NULL,134,143
BREMERTON 114,100114,KP,NULL,0,0
ERLANDS POINT 130,100130,KP,NULL,187,167
SYMINGTON 151,100151,KP,NULL,120,153
PIONEER 152,100152,KP,NULL,289,339
LARSON 153,100153,KP,NULL,272,328
SEABECK 155,100155,KP,NULL,285,436
LOST HIGHWAY 157,100157,KP,NULL,222,303
HOLLY 158,100158,KP,NULL,63,74
APEX 162,100162,KP,NULL,236,360
ANDERSON CREEK 163,100163,KP,NULL,182,250
EAGLE CREST 164,100164,KP,NULL,285,303
PORT ORCHARD 206,100206,KP,NULL,0,0
PORT ORCHARD 208,100208,KP,NULL,0,0
PORT ORCHARD 209,100209,KP,NULL,0,0
LAKE HELENA 214,100214,KP,NULL,180,261
PORT ORCHARD 215,100215,KP,NULL,0,0
MINTERBROOK 216,100216,KP,NULL,104,137
HUNTER 219,100219,KP,NULL,158,259
FERNWOOD 230,100230,KP,NULL,252,346
SINCLAIR 275,100275,KP,NULL,122,130
BELFAIR VALLEY 280,100280,KP,NULL,68,105
SUNNYSLOPE 281,100281,KP,NULL,167,243
DICKENSON 282,100282,KP,NULL,224,268
DRIVE-IN 283,100283,KP,NULL,6,6
TWIN LAKES 285,100285,KP,NULL,71,78
BREMERTON 293(*),100293,KP,NULL,0,0
BREMERTON 294,100294,KP,NULL,0,0
HEINS CREEK 297,100297,KP,NULL,0,0
