Row Label,PrecinctCode,County,Registered Voters,Blair H. Brady,Eugene Strong 
Total,-1,WK,NULL,994,694
01 - DEEP RIVER,1,WK,NULL,59,41
02 - GRAYS RIVER,2,WK,NULL,75,37
03 - ROSBURG / ALTOONA,3,WK,NULL,86,56
04 - SKAMOKAWA,4,WK,NULL,89,55
05 - ELOCHOMAN,5,WK,NULL,148,99
06 - ROSEDALE,6,WK,NULL,67,70
07 - COLUMBIA,7,WK,NULL,121,89
08 - EAST PUGET ISLAND,8,WK,NULL,83,61
09 - WEST PUGET ISLAND,9,WK,NULL,170,89
10 - SOUTH CATHLAMET,10,WK,NULL,71,60
11 - NORTH CATHLAMET,11,WK,NULL,25,37
