Row Label,PrecinctCode,County,Registered Voters,Brad Hawkins
Total,-1,GR,NULL,1717
Coulee City 005,5,GR,NULL,168
Electric City 007,7,GR,NULL,241
Ephrata Rural ,14,GR,NULL,208
Grand Coulee 018,18,GR,NULL,204
Hartline 019,19,GR,NULL,50
North Banks Lake 037,37,GR,NULL,53
Quincy Rural N 042,42,GR,NULL,174
Soap Lake 1 047,47,GR,NULL,143
Soap Lake 2 052,52,GR,NULL,130
Soap Lake Rur W ,71,GR,NULL,256
Coulee Cty Rur N 072,72,GR,NULL,62
Hartline Rural N 073,73,GR,NULL,28
