Row Label,PrecinctCode,County,Registered Voters,Scott D. Furman,Les V. Stokes
Total,-1,OK,NULL,7236,4384
ALMA,1,OK,NULL,36,13
ANGLIN,2,OK,NULL,30,40
BEEMAN,3,OK,NULL,48,29
BODIE,4,OK,NULL,11,12
BONAPARTE,5,OK,NULL,16,15
BOSTON,6,OK,NULL,59,25
BREWSTER RURAL,7,OK,NULL,28,27
CARLTON,8,OK,NULL,33,23
CHESAW,9,OK,NULL,19,27
CONCONULLY RURAL,10,OK,NULL,26,20
DUCK LAKE,11,OK,NULL,22,11
DULEY LAKE,12,OK,NULL,26,9
EASTLAKE,13,OK,NULL,21,5
EASTSIDE,14,OK,NULL,64,32
ELLISFORDE,15,OK,NULL,32,42
ELMERTON,16,OK,NULL,58,33
ELMWAY,17,OK,NULL,35,7
HAVILLAH,18,OK,NULL,47,34
LOOMIS,19,OK,NULL,41,30
MALOTT,20,OK,NULL,46,36
MAZAMA,21,OK,NULL,84,27
METHOW,22,OK,NULL,49,37
MISSION,23,OK,NULL,23,12
MOLSON,24,OK,NULL,43,30
MONSE #1,25,OK,NULL,40,27
NESPELEM RURAL,27,OK,NULL,23,5
NIGHTHAWK,28,OK,NULL,10,8
NORTH OMAK,29,OK,NULL,18,14
PATEROS RURAL,30,OK,NULL,24,29
PINE CREEK,31,OK,NULL,21,18
POGUE,32,OK,NULL,48,39
RIVERSIDE RURAL,33,OK,NULL,53,47
SAN POIL,34,OK,NULL,53,37
SOUTH OROVILLE,35,OK,NULL,21,38
SPRING COULEE,36,OK,NULL,45,26
TONASKET RURAL,37,OK,NULL,25,13
TUNK CREEK,38,OK,NULL,56,38
TWISP RURAL,39,OK,NULL,55,26
WOLF CREEK,40,OK,NULL,46,19
WAUCONDA,41,OK,NULL,29,26
WESTLAKE,42,OK,NULL,16,18
WHITESTONE,43,OK,NULL,21,20
WINTHROP RURAL,44,OK,NULL,77,28
CHILIWIST,45,OK,NULL,31,25
MONSE #3,46,OK,NULL,18,23
OKANOGAN RURAL,47,OK,NULL,29,16
AENEAS,48,OK,NULL,20,25
COLUMBIA(*),49,OK,NULL,0,0
CRUMBACHER,50,OK,NULL,30,35
DISAUTEL(*),51,OK,NULL,0,0
HUDSON,52,OK,NULL,19,10
KIPLING,53,OK,NULL,17,21
ORCHARD,54,OK,NULL,40,5
TORODA,55,OK,NULL,35,32
BEAVER CREEK,56,OK,NULL,29,13
BLACK CANYON,57,OK,NULL,30,20
BUFFALO LAKE,58,OK,NULL,22,2
COPPLE,59,OK,NULL,47,22
EDELWEISS,60,OK,NULL,80,16
ENGH,61,OK,NULL,43,29
FINLEY CANYON,62,OK,NULL,55,45
JANIS,63,OK,NULL,26,12
LEESE,64,OK,NULL,10,16
LIBBY CREEK,65,OK,NULL,52,49
MCGINNIS LAKE,66,OK,NULL,8,7
NORTH STAR,67,OK,NULL,15,7
OWHI,68,OK,NULL,28,9
PALMER LAKE,69,OK,NULL,26,22
PINE CONE,70,OK,NULL,17,19
POORMAN CREEK,71,OK,NULL,60,53
SAND FLAT,72,OK,NULL,48,24
SOURDOUGH,74,OK,NULL,22,49
TWIN LAKES,75,OK,NULL,68,36
VALLEY,76,OK,NULL,20,27
WANNACUT,77,OK,NULL,31,42
WEST CHEWUCH,78,OK,NULL,47,30
CANAL,79,OK,NULL,28,13
AIRPORT,81,OK,NULL,42,29
BALKY HILL,82,OK,NULL,39,24
BRIDGE CREEK,83,OK,NULL,54,12
CROSSROADS,84,OK,NULL,19,28
DAVIS LAKE,85,OK,NULL,70,23
GREENACRES,86,OK,NULL,22,16
JOHNSON CREEK,87,OK,NULL,42,19
LEWIS BUTTE,88,OK,NULL,62,30
LIME BELT,89,OK,NULL,14,17
MCCLURE MTN,90,OK,NULL,60,37
MOCCASIN LAKE,91,OK,NULL,65,33
NORTH MALOTT,92,OK,NULL,47,28
PATTERSON LAKE,93,OK,NULL,81,26
PEARRYGIN LAKE,94,OK,NULL,34,23
BOUNDARY,95,OK,NULL,33,24
BUCKHORN MTN,96,OK,NULL,18,34
EDER,97,OK,NULL,30,23
HORSESHOE LAKE,98,OK,NULL,27,20
LAKE ANDREWS,99,OK,NULL,29,17
MYERS CREEK,100,OK,NULL,13,14
COULEE DAM #1,101,OK,NULL,45,28
COULEE DAM #2,102,OK,NULL,37,20
COULEE DAM #3,103,OK,NULL,24,15
NESPELEM CITY,104,OK,NULL,28,3
OKANOGAN #1,105,OK,NULL,25,12
OKANOGAN #2,106,OK,NULL,38,16
OKANOGAN #3,107,OK,NULL,22,8
OKANOGAN #4,108,OK,NULL,40,12
OMAK #1,109,OK,NULL,26,9
OMAK #2,110,OK,NULL,37,15
OMAK #3,111,OK,NULL,17,4
OMAK #4,112,OK,NULL,31,13
