Row Label,PrecinctCode,County,Registered Voters,Warren M. Gilbert
Total,-1,SK,NULL,24952
ALDER,101,SK,NULL,149
ALGER,102,SK,NULL,175
ALLEN,103,SK,NULL,113
DUNBAR,104,SK,NULL,53
AVON,105,SK,NULL,280
SAUK,107,SK,NULL,288
BAY VIEW,108,SK,NULL,234
BELFAST,109,SK,NULL,151
BIG LAKE,110,SK,NULL,350
BIRDSVIEW,111,SK,NULL,294
BOW,113,SK,NULL,383
CASCADE,114,SK,NULL,49
CEDARDALE,115,SK,NULL,101
CLEAR LAKE,116,SK,NULL,260
COUNTRY CLUB,117,SK,NULL,121
CONWAY,118,SK,NULL,110
DEWEY,119,SK,NULL,454
DIGBY,120,SK,NULL,26
DODGE VALLEY,121,SK,NULL,136
EDISON,122,SK,NULL,166
FIR,124,SK,NULL,124
FRUITDALE,125,SK,NULL,133
GEAR,126,SK,NULL,284
GUEMES,127,SK,NULL,220
HAMBURG,128,SK,NULL,132
HARMONY,129,SK,NULL,176
LAKE SIXTEEN,130,SK,NULL,141
LOOKOUT,132,SK,NULL,320
MANSFORD,133,SK,NULL,37
MAPES,134,SK,NULL,109
MARCH POINT,135,SK,NULL,23
MCMURRAY WEST,136,SK,NULL,135
MCRAE,137,SK,NULL,385
MCMURRAY EAST,138,SK,NULL,58
MINKLER,139,SK,NULL,170
MONTBORNE,140,SK,NULL,375
NOOKACHAMPS,141,SK,NULL,162
SKYRIDGE,144,SK,NULL,240
PRAIRIE,145,SK,NULL,269
POINT WILLIAMS,146,SK,NULL,224
RIDGEWAY,147,SK,NULL,203
ROCKPORT,148,SK,NULL,219
SHELTER BAY,149,SK,NULL,295
SNEE OOSH,150,SK,NULL,224
STERLING,151,SK,NULL,85
SWINOMISH,153,SK,NULL,317
TINGLEY,154,SK,NULL,146
VAN FLEET,155,SK,NULL,238
VEDERE,156,SK,NULL,222
WHITNEY,157,SK,NULL,122
ROSARIO,158,SK,NULL,363
TERRACE,159,SK,NULL,480
STARBIRD,160,SK,NULL,214
FIDALGO,164,SK,NULL,313
GAGES,165,SK,NULL,72
SAMISH,166,SK,NULL,188
COLLINS,167,SK,NULL,153
BLANCHARD,168,SK,NULL,263
VIEW TERRACE,170,SK,NULL,1
LAKE CAVANAUGH,171,SK,NULL,64
LITTLE MOUNTAIN,172,SK,NULL,119
RIVERBEND,173,SK,NULL,14
PADILLA,174,SK,NULL,63
FREDONIA,176,SK,NULL,59
ANACORTES  1,201,SK,NULL,226
ANACORTES  4,204,SK,NULL,213
ANACORTES 5,205,SK,NULL,10
ANACORTES  6,206,SK,NULL,228
ANACORTES  7,207,SK,NULL,506
ANACORTES  9,209,SK,NULL,277
ANACORTES 11,211,SK,NULL,393
ANACORTES 17,217,SK,NULL,481
ANACORTES 20,220,SK,NULL,419
ANACORTES 21,221,SK,NULL,516
ANACORTES 22,222,SK,NULL,373
ANACORTES 24,224,SK,NULL,510
MOUNT VERNON  1,301,SK,NULL,118
MOUNT VERNON  2,302,SK,NULL,131
MOUNT VERNON  3,303,SK,NULL,260
MOUNT VERNON  4,304,SK,NULL,406
MOUNT VERNON  5,305,SK,NULL,80
MOUNT VERNON  6,306,SK,NULL,215
MOUNT VERNON  7,307,SK,NULL,314
MOUNT VERNON  8,308,SK,NULL,510
MOUNT VERNON  9,309,SK,NULL,139
MOUNT VERNON 10,310,SK,NULL,164
MOUNT VERNON 11,311,SK,NULL,259
MOUNT VERNON 12,312,SK,NULL,133
MOUNT VERNON 14,314,SK,NULL,384
MOUNT VERNON 15,315,SK,NULL,197
MOUNT VERNON 16,316,SK,NULL,349
MOUNT VERNON 19,319,SK,NULL,321
MOUNT VERNON 21,321,SK,NULL,464
MOUNT VERNON 22,322,SK,NULL,468
MOUNT VERNON 27,327,SK,NULL,102
MOUNT VERNON 30,330,SK,NULL,332
SEDRO WOOLLEY  1,401,SK,NULL,273
SEDRO WOOLLEY  2,402,SK,NULL,301
SEDRO WOOLLEY  3,403,SK,NULL,221
SEDRO WOOLLEY  4,404,SK,NULL,284
SEDRO WOOLLEY  5,405,SK,NULL,363
SEDRO WOOLLEY  6,406,SK,NULL,278
SEDRO WOOLLEY  7,407,SK,NULL,6
BURLINGTON 1,501,SK,NULL,137
BURLINGTON 2,502,SK,NULL,163
BURLINGTON 3,503,SK,NULL,76
BURLINGTON 4,504,SK,NULL,235
BURLINGTON 5,505,SK,NULL,279
BURLINGTON 6,506,SK,NULL,151
BURLINGTON 7,507,SK,NULL,166
CONCRETE,601,SK,NULL,107
HAMILTON,701,SK,NULL,40
LA CONNER,801,SK,NULL,262
LYMAN,855,SK,NULL,65
