Row Label,PrecinctCode,County,Registered Voters,Curt DeWoody,Bill Gordon
Total,-1,FR,NULL,3961,8951
Pct 001,1,FR,NULL,66,134
Pct 002,2,FR,NULL,35,70
Pct 003,3,FR,NULL,21,31
Pct 004,4,FR,NULL,18,60
Pct 005,5,FR,NULL,19,49
Pct 006,6,FR,NULL,38,71
Pct 007,7,FR,NULL,25,68
Pct 008,8,FR,NULL,34,181
Pct 009,9,FR,NULL,22,45
Pct 010,10,FR,NULL,21,99
Pct 011,11,FR,NULL,17,76
Pct 012,12,FR,NULL,32,46
Pct 013,13,FR,NULL,21,55
Pct 014,14,FR,NULL,26,61
Pct 015,15,FR,NULL,35,75
Pct 016,16,FR,NULL,4,15
Pct 017,17,FR,NULL,28,92
Pct 018,18,FR,NULL,12,45
Pct 019,19,FR,NULL,56,114
Pct 020,20,FR,NULL,18,52
Pct 021,21,FR,NULL,14,26
Pct 022,22,FR,NULL,94,77
Pct 023,23,FR,NULL,130,174
Pct 024,24,FR,NULL,73,66
Pct 025,25,FR,NULL,11,47
Pct 026,26,FR,NULL,33,69
Pct 027,27,FR,NULL,30,46
Pct 028,28,FR,NULL,23,54
Pct 029,29,FR,NULL,27,63
Pct 030,30,FR,NULL,11,45
Pct 031,31,FR,NULL,12,58
Pct 032,32,FR,NULL,177,195
Pct 033,33,FR,NULL,59,86
Pct 034,34,FR,NULL,57,172
Pct 035,35,FR,NULL,28,77
Pct 036,36,FR,NULL,76,195
Pct 037,37,FR,NULL,110,138
Pct 038,38,FR,NULL,63,116
Pct 039,39,FR,NULL,72,126
Pct 040,40,FR,NULL,76,109
Pct 041,41,FR,NULL,40,85
Pct 042,42,FR,NULL,56,92
Pct 043,43,FR,NULL,53,107
Pct 044,44,FR,NULL,69,98
Pct 045,45,FR,NULL,88,142
Pct 046,46,FR,NULL,112,148
Pct 047,47,FR,NULL,5,22
Pct 048,48,FR,NULL,66,151
Pct 049,49,FR,NULL,50,188
Pct 050,50,FR,NULL,71,146
Pct 051,51,FR,NULL,65,147
Pct 052,52,FR,NULL,21,33
Pct 053,53,FR,NULL,46,114
Pct 054,54,FR,NULL,34,49
Pct 055,55,FR,NULL,118,188
Pct 056,56,FR,NULL,50,96
Pct 057,57,FR,NULL,37,123
Pct 058,58,FR,NULL,13,12
Pct 059,59,FR,NULL,71,214
Pct 060,60,FR,NULL,19,75
Pct 061,61,FR,NULL,55,201
Pct 062,62,FR,NULL,90,253
Pct 063,63,FR,NULL,50,125
Pct 064,64,FR,NULL,45,137
Pct 065,65,FR,NULL,24,80
Pct 066,66,FR,NULL,71,189
Pct 067(*),67,FR,NULL,0,0
Pct 068(*),68,FR,NULL,0,0
Pct 069,69,FR,NULL,18,17
Pct 070,70,FR,NULL,17,47
Pct 071,71,FR,NULL,37,113
Pct 072,72,FR,NULL,37,81
Pct 073,73,FR,NULL,74,172
Pct 074,74,FR,NULL,58,163
Pct 075,75,FR,NULL,12,27
Pct 076,76,FR,NULL,13,60
Pct 077,77,FR,NULL,11,44
Pct 078,78,FR,NULL,16,58
Pct 079,79,FR,NULL,21,95
Pct 080,80,FR,NULL,74,190
Pct 081,81,FR,NULL,20,45
Pct 082,82,FR,NULL,22,82
Pct 083,83,FR,NULL,19,68
Pct 084,84,FR,NULL,10,32
Pct 085,85,FR,NULL,10,35
Pct 086,86,FR,NULL,18,59
Pct 087,87,FR,NULL,17,45
Pct 088,88,FR,NULL,6,31
Pct 089,89,FR,NULL,22,89
Pct 090,90,FR,NULL,47,92
Pct 091,91,FR,NULL,2,11
Pct 092,92,FR,NULL,49,76
Pct 093,93,FR,NULL,39,102
Pct 094,94,FR,NULL,0,0
Pct 095,95,FR,NULL,9,52
Pct 096,96,FR,NULL,12,73
Pct 097,97,FR,NULL,6,38
Pct 098,98,FR,NULL,9,17
Pct 099,99,FR,NULL,8,27
Pct 100,100,FR,NULL,24,75
Pct 101,101,FR,NULL,20,82
