Row Label,PrecinctCode,County,Registered Voters,Adalia A. Hille,Carolyn J. Benzel
Total,-1,AD,NULL,791,784
Ritzville Ward #1,111,AD,NULL,36,66
Ritzville Ward #2,112,AD,NULL,39,57
Ritzville Ward #3,113,AD,NULL,88,75
Ritzville Ward #4,114,AD,NULL,75,68
Ritzville Ward #5,115,AD,NULL,64,80
Ritzville Rural NW,121,AD,NULL,55,98
Ritzville Rural SE,122,AD,NULL,82,64
Batum,123,AD,NULL,35,49
Benge,211,AD,NULL,15,10
Washtucna City #1,212,AD,NULL,67,31
Washtucna Rural,221,AD,NULL,47,17
Ralston,222,AD,NULL,27,9
Lind #1,311,AD,NULL,101,88
Lind Rural,321,AD,NULL,32,38
Fairview,322,AD,NULL,15,13
Schrag,323,AD,NULL,13,21
