Row Label,PrecinctCode,County,Registered Voters,Brian Blake,Hugh Fleet
Total,-1,WK,NULL,1048,703
01 - DEEP RIVER,1,WK,NULL,58,49
02 - GRAYS RIVER,2,WK,NULL,70,45
03 - ROSBURG / ALTOONA,3,WK,NULL,83,58
04 - SKAMOKAWA,4,WK,NULL,106,41
05 - ELOCHOMAN,5,WK,NULL,143,106
06 - ROSEDALE,6,WK,NULL,76,69
07 - COLUMBIA,7,WK,NULL,123,101
08 - EAST PUGET ISLAND,8,WK,NULL,96,60
09 - WEST PUGET ISLAND,9,WK,NULL,157,110
10 - SOUTH CATHLAMET,10,WK,NULL,98,40
11 - NORTH CATHLAMET,11,WK,NULL,38,24
