Row Label,PrecinctCode,County,Registered Voters,Eddie Yoon,Charles W. Johnson
Total,-1,CM,NULL,5668,15727
PORT ANGELES 101,101,CM,NULL,74,229
PORT ANGELES 102,102,CM,NULL,141,302
PORT ANGELES 103,103,CM,NULL,121,357
PORT ANGELES 104,104,CM,NULL,97,234
PORT ANGELES 105,105,CM,NULL,109,347
PORT ANGELES 106,106,CM,NULL,87,281
PORT ANGELES 107,107,CM,NULL,108,366
PORT ANGELES 108,108,CM,NULL,66,163
PORT ANGELES 109,109,CM,NULL,168,393
PORT ANGELES 110,110,CM,NULL,35,80
PORT ANGELES 111,111,CM,NULL,139,371
PORT ANGELES 112,112,CM,NULL,66,214
PORT ANGELES 113,113,CM,NULL,76,216
AGNEW 201,201,CM,NULL,80,263
BEAVER 204,204,CM,NULL,77,187
BELLEVIEW 205,205,CM,NULL,100,329
BELL HILL 207,207,CM,NULL,90,324
BLACK DIAMOND 208,208,CM,NULL,47,204
BLUE MOUNTAIN 209,209,CM,NULL,96,309
BLUFFS 210,210,CM,NULL,72,154
BLYN 211,211,CM,NULL,93,255
BOGACHIEL 212,212,CM,NULL,34,91
CARLSBORG 214,214,CM,NULL,86,211
CLALLAM BAY 215,215,CM,NULL,54,144
CLARK 216,216,CM,NULL,48,103
CLINE 217,217,CM,NULL,120,303
COYOTE 218,218,CM,NULL,129,324
DEER PARK 220,220,CM,NULL,117,323
DIAMOND POINT 221,221,CM,NULL,114,291
DUNGENESS EAST 222,222,CM,NULL,114,363
DUNGENESS WEST 223,223,CM,NULL,56,170
DRY CREEK 224,224,CM,NULL,104,235
EAGLE 226,226,CM,NULL,80,243
ELK 229,229,CM,NULL,24,78
ELWHA 230,230,CM,NULL,21,94
FAIRVIEW 232,232,CM,NULL,126,291
FRESHWATER BAY 233,233,CM,NULL,128,386
HAPPY VALLEY 237,237,CM,NULL,71,155
JAMESTOWN 240,240,CM,NULL,82,174
JOYCE 241,241,CM,NULL,136,319
LOST MOUNTAIN 245,245,CM,NULL,53,190
MILLER PENINSULA 246,246,CM,NULL,69,158
MACLEAY 247,247,CM,NULL,74,313
MADISON CREEK 248,248,CM,NULL,46,97
MONTERRA 249,249,CM,NULL,83,306
MOUNT ANGELES 250,250,CM,NULL,60,162
MOUNT PLEASANT 251,251,CM,NULL,97,267
NEAH BAY 252,252,CM,NULL,64,114
OBRIEN 253,253,CM,NULL,86,261
OLYMPIC 254,254,CM,NULL,85,205
PORT WILLIAMS 258,258,CM,NULL,53,181
PRAIRIE NORTH 259,259,CM,NULL,84,273
PRAIRIE SOUTH 260,260,CM,NULL,116,266
QUILEUTE 262,262,CM,NULL,38,91
RIVERSIDE 265,265,CM,NULL,102,272
ROBIN HILL 266,266,CM,NULL,103,221
SUN 269,269,CM,NULL,24,99
SUNLAND NORTH 270,270,CM,NULL,89,329
SUNLAND SOUTH 271,271,CM,NULL,82,195
FORKS 301,301,CM,NULL,52,146
FORKS 302,302,CM,NULL,77,205
SEQUIM 401,401,CM,NULL,65,153
SEQUIM 402,402,CM,NULL,61,160
SEQUIM 403,403,CM,NULL,119,280
SEQUIM 404,404,CM,NULL,145,382
SEQUIM 405,405,CM,NULL,87,256
SEQUIM 406,406,CM,NULL,68,269
