Row Label,PrecinctCode,County,Registered Voters,Jeff Baker,Dave Brown
Total,-1,KT,NULL,2673,792
CENTERVILLE(*),2,KT,NULL,0,0
F VALLEY(*),5,KT,NULL,0,0
GLENWOOD,6,KT,NULL,80,8
HUSUM,7,KT,NULL,267,60
LYLE,8,KT,NULL,233,118
MT BROOK,9,KT,NULL,208,60
N DALLES,11,KT,NULL,200,117
N F VALLEY,12,KT,NULL,300,85
TROUT LAKE,16,KT,NULL,340,26
APPLETON,22,KT,NULL,62,24
E LYLE,24,KT,NULL,91,31
HGH PRAIRIE,28,KT,NULL,38,22
BINGEN,101,KT,NULL,74,47
WHITE SALMON,109,KT,NULL,323,70
N WHITE SALMON,110,KT,NULL,189,61
