Row Label,PrecinctCode,County,Registered Voters,Susan Fagan
Total,-1,AS,NULL,5854
ANATONE,1,AS,NULL,122
RURAL ASOTIN,3,AS,NULL,141
W ASOTIN,4,AS,NULL,155
SWALLOWS NEST,5,AS,NULL,362
ASOTIN #1,101,AS,NULL,172
ASOTIN #2,102,AS,NULL,180
CLARKSTON #1,201,AS,NULL,134
CLARKSTON #2,202,AS,NULL,185
CLARKSTON #3,203,AS,NULL,166
CLARKSTON #4,204,AS,NULL,199
CLARKSTON #5,205,AS,NULL,124
CLARKSTON #6,206,AS,NULL,201
CLARKSTON #7,207,AS,NULL,133
CLARKSTON #8,208,AS,NULL,177
CLARKSTON HTS #1,301,AS,NULL,258
CLARKSTON HTS #2,302,AS,NULL,444
CLARKSTON HTS #3,303,AS,NULL,101
CLARKSTON HTS #4,304,AS,NULL,246
CLARKSTON HTS #5,305,AS,NULL,460
CLARKSTON HTS #6,306,AS,NULL,382
CLARKSTON HTS #7,307,AS,NULL,308
SOUTH CLARKSTON #1,401,AS,NULL,214
SOUTH CLARKSTON #2,402,AS,NULL,279
WEST CLARKSTON #1,501,AS,NULL,221
WEST CLARKSTON #2,502,AS,NULL,216
WEST CLARKSTON #3,503,AS,NULL,274
