Row Label,PrecinctCode,County,Registered Voters,Jan Angel,Judy Arbogast
Total,-1,KP,NULL,13479,9649
BREMERTON 001,100001,KP,NULL,104,146
BREMERTON 002,100002,KP,NULL,95,105
BREMERTON 003,100003,KP,NULL,192,210
BREMERTON 005,100005,KP,NULL,119,161
BREMERTON 006,100006,KP,NULL,104,168
BREMERTON 015,100015,KP,NULL,238,216
BREMERTON 016,100016,KP,NULL,45,63
BREMERTON 022,100022,KP,NULL,159,165
BREMERTON 051,100051,KP,NULL,28,18
MARION 090,100090,KP,NULL,45,41
NAVY YARD CITY 095,100095,KP,NULL,237,212
PORT ORCHARD 200,100200,KP,NULL,128,105
PORT ORCHARD 201,100201,KP,NULL,233,200
PORT ORCHARD 202,100202,KP,NULL,320,221
PORT ORCHARD 203,100203,KP,NULL,148,102
PORT ORCHARD 204,100204,KP,NULL,223,195
PORT ORCHARD 205,100205,KP,NULL,617,391
PORT ORCHARD 207,100207,KP,NULL,275,168
PORT ORCHARD 210,100210,KP,NULL,200,114
CEDAR 211,100211,KP,NULL,261,194
ANNAPOLIS 212,100212,KP,NULL,399,271
BRASCH 213,100213,KP,NULL,346,174
SPRING CREEK 217,100217,KP,NULL,248,135
BURLEY 218,100218,KP,NULL,327,239
ALASKA 221,100221,KP,NULL,329,304
WOODRIDGE 222,100222,KP,NULL,193,104
NEBRASKA 223,100223,KP,NULL,291,169
WHISPERING PINES 227,100227,KP,NULL,357,169
GLENWOOD 232,100232,KP,NULL,447,210
HARPER 240,100240,KP,NULL,241,237
YUKON 241,100241,KP,NULL,220,183
WILSON CREEK 242,100242,KP,NULL,250,207
LONG LAKE 245,100245,KP,NULL,234,122
LOCKER 246,100246,KP,NULL,403,273
EBBERT 247,100247,KP,NULL,346,203
LUNDBERG 250,100250,KP,NULL,298,205
CONVERSE 252,100252,KP,NULL,273,163
MANCHESTER 255,100255,KP,NULL,251,177
EVERGREEN 257,100257,KP,NULL,419,282
WILLOCK 258,100258,KP,NULL,283,167
FRAGARIA 259,100259,KP,NULL,292,201
MULLENIX 260,100260,KP,NULL,361,218
BANDIX 263,100263,KP,NULL,384,211
OLALLA 265,100265,KP,NULL,241,172
CRESCENT VALLEY 266,100266,KP,NULL,315,221
OVERLOOK 267,100267,KP,NULL,195,214
MADRONA 269,100269,KP,NULL,220,134
PARKWOOD 270,100270,KP,NULL,308,254
CONIFER 271,100271,KP,NULL,152,114
SEDGWICK 272,100272,KP,NULL,344,219
SHERMAN HEIGHTS 278,100278,KP,NULL,11,7
BERRY LAKE 279,100279,KP,NULL,191,144
LIGHTHOUSE POINT 292,100292,KP,NULL,331,219
WATERMAN 295,100295,KP,NULL,208,132
BREMERTON 296,100296,KP,NULL,0,0
