Row Label,PrecinctCode,County,Registered Voters,Mary Yu
Total,-1,SM,NULL,2417
BEAR PRAIRIE,100,SM,NULL,97
MT. PLEASANT,101,SM,NULL,101
SKYE,102,SM,NULL,117
UPPER WASHOUGAL,103,SM,NULL,111
LEWIS RIVER,104,SM,NULL,8
CAPE HORN,105,SM,NULL,130
SKAMANIA,106,SM,NULL,144
CASCADES,201,SM,NULL,3
NORTH BONNEVILLE,202,SM,NULL,211
ROCK CREEK,203,SM,NULL,82
MAPLE VIEW,204,SM,NULL,163
NORTH STEVENSON,205,SM,NULL,107
SOUTH STEVENSON,206,SM,NULL,38
NELSON CREEK,207,SM,NULL,65
CARSON CREEK,208,SM,NULL,158
STABLER,300,SM,NULL,164
WIND RIVER,303,SM,NULL,131
HOT SPRINGS NORTH,304,SM,NULL,60
HOT SPRINGS SOUTH,305,SM,NULL,97
WIND MOUNTAIN,307,SM,NULL,61
CHENOWITH,309,SM,NULL,95
UNDERWOOD NORTH,310,SM,NULL,152
UNDERWOOD SOUTH,311,SM,NULL,122
