Row Label,PrecinctCode,County,Registered Voters,Rob Chase,Amy Biviano
PCT 4420,4420,SP,NULL,115,105
PCT 4421,4421,SP,NULL,192,183
PCT 4422,4422,SP,NULL,278,214
PCT 4423,4423,SP,NULL,369,287
PCT 4424,4424,SP,NULL,278,193
PCT 4425,4425,SP,NULL,222,155
PCT 4426,4426,SP,NULL,163,120
PCT 4427,4427,SP,NULL,347,255
PCT 4428,4428,SP,NULL,212,135
PCT 4429,4429,SP,NULL,339,205
PCT 4430,4430,SP,NULL,313,224
PCT 4431,4431,SP,NULL,228,184
PCT 4432,4432,SP,NULL,294,219
PCT 4433,4433,SP,NULL,198,153
PCT 4434,4434,SP,NULL,439,269
PCT 4435,4435,SP,NULL,346,193
PCT 4436,4436,SP,NULL,459,234
PCT 4437,4437,SP,NULL,299,247
PCT 4438,4438,SP,NULL,421,232
PCT 4439,4439,SP,NULL,286,206
PCT 4440,4440,SP,NULL,318,210
PCT 4441,4441,SP,NULL,221,144
PCT 4442,4442,SP,NULL,207,138
PCT 4443,4443,SP,NULL,181,97
PCT 4444,4444,SP,NULL,337,194
PCT 4445,4445,SP,NULL,258,173
PCT 4446,4446,SP,NULL,141,147
PCT 4447,4447,SP,NULL,117,114
PCT 4448,4448,SP,NULL,212,178
PCT 4449,4449,SP,NULL,142,160
PCT 4450,4450,SP,NULL,132,111
PCT 4451,4451,SP,NULL,210,159
PCT 4452,4452,SP,NULL,239,140
PCT 4453,4453,SP,NULL,314,172
PCT 4454,4454,SP,NULL,166,181
PCT 4455,4455,SP,NULL,231,160
PCT 6000,6000,SP,NULL,246,101
PCT 6001,6001,SP,NULL,258,199
PCT 6002,6002,SP,NULL,84,50
PCT 6003,6003,SP,NULL,360,181
PCT 6004,6004,SP,NULL,210,137
PCT 6005,6005,SP,NULL,261,162
PCT 6006,6006,SP,NULL,294,174
PCT 6007,6007,SP,NULL,236,184
PCT 6008,6008,SP,NULL,225,159
PCT 6009,6009,SP,NULL,210,165
PCT 6010,6010,SP,NULL,43,18
PCT 6011,6011,SP,NULL,275,106
PCT 6012,6012,SP,NULL,201,90
PCT 6013,6013,SP,NULL,220,135
PCT 6014,6014,SP,NULL,157,103
PCT 6015,6015,SP,NULL,165,126
PCT 6016,6016,SP,NULL,201,91
PCT 6017,6017,SP,NULL,439,350
PCT 6018,6018,SP,NULL,372,279
PCT 6019,6019,SP,NULL,352,311
PCT 6020,6020,SP,NULL,332,373
PCT 6021,6021,SP,NULL,260,181
PCT 6022,6022,SP,NULL,281,219
PCT 6023,6023,SP,NULL,180,95
PCT 6024,6024,SP,NULL,178,122
PCT 6025,6025,SP,NULL,217,147
PCT 6026,6026,SP,NULL,433,264
PCT 6027,6027,SP,NULL,262,203
PCT 6028,6028,SP,NULL,238,140
PCT 6029,6029,SP,NULL,295,164
PCT 6030,6030,SP,NULL,432,233
PCT 6031,6031,SP,NULL,223,146
PCT 6032,6032,SP,NULL,209,91
PCT 6033,6033,SP,NULL,462,258
PCT 6034,6034,SP,NULL,383,153
PCT 6035,6035,SP,NULL,190,116
PCT 6036,6036,SP,NULL,185,114
PCT 6037,6037,SP,NULL,191,79
PCT 6100,6100,SP,NULL,150,126
PCT 6101,6101,SP,NULL,223,170
PCT 6102,6102,SP,NULL,225,178
PCT 6103,6103,SP,NULL,78,89
PCT 6104,6104,SP,NULL,147,160
PCT 6105,6105,SP,NULL,183,192
PCT 6106,6106,SP,NULL,279,257
PCT 6107,6107,SP,NULL,158,146
PCT 6108,6108,SP,NULL,162,175
PCT 6109,6109,SP,NULL,145,111
PCT 6200,6200,SP,NULL,256,345
PCT 6201,6201,SP,NULL,234,197
PCT 6202,6202,SP,NULL,223,274
PCT 6203,6203,SP,NULL,177,449
PCT 6204,6204,SP,NULL,225,497
PCT 6205,6205,SP,NULL,199,417
PCT 6206,6206,SP,NULL,221,405
PCT 6207,6207,SP,NULL,308,301
PCT 6208,6208,SP,NULL,262,342
PCT 6209,6209,SP,NULL,183,292
PCT 6210,6210,SP,NULL,287,314
PCT 6211,6211,SP,NULL,180,200
PCT 6212,6212,SP,NULL,142,164
PCT 6213,6213,SP,NULL,308,250
PCT 6214,6214,SP,NULL,211,244
PCT 6215,6215,SP,NULL,234,360
PCT 6216,6216,SP,NULL,239,270
PCT 6217,6217,SP,NULL,244,318
PCT 6218,6218,SP,NULL,285,198
PCT 6219,6219,SP,NULL,272,269
PCT 6220,6220,SP,NULL,341,230
PCT 6221,6221,SP,NULL,366,266
PCT 6222,6222,SP,NULL,271,151
