Row Label,PrecinctCode,County,Registered Voters,Steve Tharinger,Thomas W. Greisamer
Total,-1,CM,NULL,14310,13544
PORT ANGELES 101,101,CM,NULL,208,168
PORT ANGELES 102,102,CM,NULL,385,206
PORT ANGELES 103,103,CM,NULL,371,273
PORT ANGELES 104,104,CM,NULL,282,143
PORT ANGELES 105,105,CM,NULL,336,222
PORT ANGELES 106,106,CM,NULL,248,220
PORT ANGELES 107,107,CM,NULL,394,241
PORT ANGELES 108,108,CM,NULL,180,125
PORT ANGELES 109,109,CM,NULL,427,296
PORT ANGELES 110,110,CM,NULL,79,66
PORT ANGELES 111,111,CM,NULL,395,266
PORT ANGELES 112,112,CM,NULL,196,161
PORT ANGELES 113,113,CM,NULL,193,196
AGNEW 201,201,CM,NULL,201,226
BEAVER 204,204,CM,NULL,127,229
BELLEVIEW 205,205,CM,NULL,265,252
BELL HILL 207,207,CM,NULL,239,296
BLACK DIAMOND 208,208,CM,NULL,162,163
BLUE MOUNTAIN 209,209,CM,NULL,265,272
BLUFFS 210,210,CM,NULL,134,160
BLYN 211,211,CM,NULL,225,223
BOGACHIEL 212,212,CM,NULL,55,115
CARLSBORG 214,214,CM,NULL,167,223
CLALLAM BAY 215,215,CM,NULL,130,123
CLARK 216,216,CM,NULL,114,79
CLINE 217,217,CM,NULL,310,223
COYOTE 218,218,CM,NULL,313,261
DEER PARK 220,220,CM,NULL,261,297
DIAMOND POINT 221,221,CM,NULL,263,255
DUNGENESS EAST 222,222,CM,NULL,317,321
DUNGENESS WEST 223,223,CM,NULL,145,140
DRY CREEK 224,224,CM,NULL,241,197
EAGLE 226,226,CM,NULL,176,229
ELK 229,229,CM,NULL,64,66
ELWHA 230,230,CM,NULL,71,88
FAIRVIEW 232,232,CM,NULL,265,302
FRESHWATER BAY 233,233,CM,NULL,308,380
HAPPY VALLEY 237,237,CM,NULL,126,162
JAMESTOWN 240,240,CM,NULL,194,155
JOYCE 241,241,CM,NULL,268,340
LOST MOUNTAIN 245,245,CM,NULL,145,188
MILLER PENINSULA 246,246,CM,NULL,170,125
MACLEAY 247,247,CM,NULL,273,257
MADISON CREEK 248,248,CM,NULL,83,107
MONTERRA 249,249,CM,NULL,261,252
MOUNT ANGELES 250,250,CM,NULL,171,153
MOUNT PLEASANT 251,251,CM,NULL,238,228
NEAH BAY 252,252,CM,NULL,169,39
OBRIEN 253,253,CM,NULL,176,258
OLYMPIC 254,254,CM,NULL,181,196
PORT WILLIAMS 258,258,CM,NULL,162,137
PRAIRIE NORTH 259,259,CM,NULL,227,252
PRAIRIE SOUTH 260,260,CM,NULL,227,270
QUILEUTE 262,262,CM,NULL,92,76
RIVERSIDE 265,265,CM,NULL,276,221
ROBIN HILL 266,266,CM,NULL,182,224
SUN 269,269,CM,NULL,58,106
SUNLAND NORTH 270,270,CM,NULL,292,266
SUNLAND SOUTH 271,271,CM,NULL,175,184
FORKS 301,301,CM,NULL,119,141
FORKS 302,302,CM,NULL,148,236
SEQUIM 401,401,CM,NULL,156,121
SEQUIM 402,402,CM,NULL,146,132
SEQUIM 403,403,CM,NULL,289,233
SEQUIM 404,404,CM,NULL,341,364
SEQUIM 405,405,CM,NULL,218,212
SEQUIM 406,406,CM,NULL,235,206
