Row Label,PrecinctCode,County,Registered Voters,Lisa O'Toole,Marcus Naylor
Total,-1,KI,NULL,2475,1638
Total,-1,KI,NULL,2475,1638
BOTHELL 31,10141598,SN,NULL,149,125
BOTHELL 32,10141599,SN,NULL,121,61
BOTHELL 33,10141600,SN,NULL,145,91
BOTHELL 34,10141601,SN,NULL,166,119
BOTHELL 35,10141602,SN,NULL,127,90
BOTHELL 36,10141603,SN,NULL,135,97
BOTHELL 37,10141604,SN,NULL,190,128
BOTHELL 38,10141605,SN,NULL,146,93
BOTHELL 39,10141606,SN,NULL,115,79
BOTHELL 40,10141607,SN,NULL,172,109
BOTHELL 41,10141608,SN,NULL,188,98
BOTHELL 42,10141609,SN,NULL,189,133
BOTHELL 43,10141610,SN,NULL,111,79
BOTHELL 44,10141611,SN,NULL,130,77
BOTHELL 45,10141612,SN,NULL,82,51
BOTHELL 46,10141613,SN,NULL,160,82
BOTHELL 47,10141644,SN,NULL,149,126
