Row Label,PrecinctCode,County,Registered Voters,Rob Lawrence-Berrey
Total,-1,YA,NULL,33289
0001,1,YA,NULL,0
0101,101,YA,NULL,124
0103,103,YA,NULL,123
0104,104,YA,NULL,167
0110,110,YA,NULL,159
0111,111,YA,NULL,182
0113,113,YA,NULL,136
0116,116,YA,NULL,271
0118,118,YA,NULL,109
0120,120,YA,NULL,156
0124,124,YA,NULL,71
0126,126,YA,NULL,110
0127,127,YA,NULL,223
0129,129,YA,NULL,141
0130,130,YA,NULL,169
0131,131,YA,NULL,197
0132,132,YA,NULL,195
0133,133,YA,NULL,398
0134,134,YA,NULL,506
0138,138,YA,NULL,424
0139,139,YA,NULL,377
0140,140,YA,NULL,180
0142,142,YA,NULL,352
0150,150,YA,NULL,154
0153,153,YA,NULL,230
0154,154,YA,NULL,265
0155,155,YA,NULL,274
0156,156,YA,NULL,164
0158,158,YA,NULL,138
0162,162,YA,NULL,180
0163,163,YA,NULL,345
0167,167,YA,NULL,337
0168,168,YA,NULL,332
0169,169,YA,NULL,368
0170,170,YA,NULL,225
0173,173,YA,NULL,212
0175,175,YA,NULL,167
0177,177,YA,NULL,366
0179,179,YA,NULL,336
0180,180,YA,NULL,177
0181,181,YA,NULL,356
0182,182,YA,NULL,504
0183,183,YA,NULL,274
0184,184,YA,NULL,261
0185,185,YA,NULL,334
0186,186,YA,NULL,423
0187,187,YA,NULL,284
0188,188,YA,NULL,389
0189,189,YA,NULL,210
0190,190,YA,NULL,177
0301,301,YA,NULL,56
0302,302,YA,NULL,183
0303,303,YA,NULL,164
0304,304,YA,NULL,86
0305,305,YA,NULL,9
0306,306,YA,NULL,247
0307,307,YA,NULL,16
0308,308,YA,NULL,0
0501,501,YA,NULL,187
0701,701,YA,NULL,69
0901,901,YA,NULL,105
1101,1101,YA,NULL,219
1103,1103,YA,NULL,230
1301,1301,YA,NULL,137
1501,1501,YA,NULL,216
1502,1502,YA,NULL,306
1503,1503,YA,NULL,279
1504,1504,YA,NULL,325
1701,1701,YA,NULL,196
1702,1702,YA,NULL,20
1703,1703,YA,NULL,184
1704,1704,YA,NULL,0
1705,1705,YA,NULL,306
1706,1706,YA,NULL,246
1708,1708,YA,NULL,170
1901,1901,YA,NULL,102
2101,2101,YA,NULL,296
2103,2103,YA,NULL,227
2301,2301,YA,NULL,187
2303,2303,YA,NULL,191
2306,2306,YA,NULL,272
2501,2501,YA,NULL,211
2701,2701,YA,NULL,524
3002,3002,YA,NULL,75
3004,3004,YA,NULL,10
3101,3101,YA,NULL,422
3102,3102,YA,NULL,212
3103,3103,YA,NULL,140
3104,3104,YA,NULL,229
3105,3105,YA,NULL,31
3106,3106,YA,NULL,262
3203,3203,YA,NULL,328
3204,3204,YA,NULL,36
3205,3205,YA,NULL,358
3206,3206,YA,NULL,327
3208,3208,YA,NULL,32
3301,3301,YA,NULL,204
3303,3303,YA,NULL,109
3304,3304,YA,NULL,286
3305,3305,YA,NULL,222
3306,3306,YA,NULL,139
3308,3308,YA,NULL,250
3309,3309,YA,NULL,187
3310,3310,YA,NULL,217
3311,3311,YA,NULL,497
3313,3313,YA,NULL,94
3401,3401,YA,NULL,103
3504,3504,YA,NULL,14
3601,3601,YA,NULL,32
3602,3602,YA,NULL,421
3605,3605,YA,NULL,464
3701,3701,YA,NULL,188
3901,3901,YA,NULL,314
3902,3902,YA,NULL,119
3903,3903,YA,NULL,537
3904,3904,YA,NULL,91
3905,3905,YA,NULL,80
4001,4001,YA,NULL,85
4002,4002,YA,NULL,95
4003,4003,YA,NULL,363
4005,4005,YA,NULL,191
4101,4101,YA,NULL,102
4102,4102,YA,NULL,236
4104,4104,YA,NULL,190
4105,4105,YA,NULL,131
4106,4106,YA,NULL,240
4108,4108,YA,NULL,175
4109,4109,YA,NULL,380
4111,4111,YA,NULL,313
4112,4112,YA,NULL,386
4114,4114,YA,NULL,90
4115,4115,YA,NULL,140
4303,4303,YA,NULL,95
4401,4401,YA,NULL,146
4402,4402,YA,NULL,171
4501,4501,YA,NULL,77
4503,4503,YA,NULL,30
4504,4504,YA,NULL,224
4601,4601,YA,NULL,127
4602,4602,YA,NULL,135
4603,4603,YA,NULL,307
4604,4604,YA,NULL,121
4605,4605,YA,NULL,2
4606,4606,YA,NULL,283
4608,4608,YA,NULL,101
4609,4609,YA,NULL,113
4615,4615,YA,NULL,233
4616,4616,YA,NULL,111
4618,4618,YA,NULL,186
4623,4623,YA,NULL,22
4624,4624,YA,NULL,139
4625,4625,YA,NULL,10
4626,4626,YA,NULL,13
4627,4627,YA,NULL,83
4628,4628,YA,NULL,88
4801,4801,YA,NULL,427
4802,4802,YA,NULL,415
5001,5001,YA,NULL,63
5003,5003,YA,NULL,252
5010,5010,YA,NULL,79
5012,5012,YA,NULL,213
5014,5014,YA,NULL,246
5016,5016,YA,NULL,120
5020,5020,YA,NULL,170
5101,5101,YA,NULL,122
5202,5202,YA,NULL,0
