Row Label,PrecinctCode,County,Registered Voters,Jim Hurson
Total,-1,KS,NULL,5920
DENMARK,5,KS,NULL,292
EAST SANDERS,6,KS,NULL,220
ELLENSBURG 1,8,KS,NULL,35
ELLENSBURG 2,9,KS,NULL,54
ELLENSBURG 4,11,KS,NULL,29
ELLENSBURG 5,12,KS,NULL,48
ELLENSBURG 6,13,KS,NULL,49
ELLENSBURG 7,14,KS,NULL,37
ELLENSBURG 8,15,KS,NULL,59
ELLENSBURG 9,16,KS,NULL,62
ELLENSBURG 10,17,KS,NULL,85
ELLENSBURG 11,18,KS,NULL,87
ELLENSBURG 12,19,KS,NULL,76
ELLENSBURG 13,20,KS,NULL,65
ELLENSBURG 14,21,KS,NULL,92
ELLENSBURG 15,22,KS,NULL,117
ELLENSBURG 16,23,KS,NULL,169
ELLENSBURG 17,24,KS,NULL,134
ELLENSBURG 18,25,KS,NULL,31
ELLENSBURG 19,26,KS,NULL,221
ELLENSBURG 20,27,KS,NULL,49
ELLENSBURG 21,28,KS,NULL,84
ELLENSBURG 22,29,KS,NULL,125
ELLENSBURG 23,30,KS,NULL,145
ELLENSBURG 24,31,KS,NULL,256
KITTITAS 1,33,KS,NULL,96
MANASTASH,34,KS,NULL,164
NORTH CENTRAL,36,KS,NULL,185
NORTH ELLENSBURG,37,KS,NULL,290
PARK,38,KS,NULL,247
RIDGEWAY,40,KS,NULL,318
DRY CREEK,43,KS,NULL,244
SANDERS,46,KS,NULL,96
SOUTH ELLENSBURG,48,KS,NULL,280
THORP,52,KS,NULL,203
VANTAGE,53,KS,NULL,18
FAIRVIEW,54,KS,NULL,153
NORTHEAST FAIRVIEW,55,KS,NULL,230
THRALL,56,KS,NULL,193
DAMMAN,58,KS,NULL,237
KITTITAS 2,60,KS,NULL,112
ELLENSBURG 25,61,KS,NULL,233
