Row Label,PrecinctCode,County,Registered Voters,Kevin M. Korsmo
Total,-1,FE,NULL,1706
BELCHER,101,FE,NULL,54
BOYDS,102,FE,NULL,92
CURLEW,103,FE,NULL,19
HALL CREEK,104,FE,NULL,61
INCHELIUM,105,FE,NULL,58
KELLER,106,FE,NULL,80
KETTLE RIVER,107,FE,NULL,118
KEWA,108,FE,NULL,69
LAMBERT,109,FE,NULL,51
MALO,110,FE,NULL,102
ORIENT,111,FE,NULL,76
REPUBLIC 1,112,FE,NULL,130
REPUBLIC 2,113,FE,NULL,116
SAN POIL,114,FE,NULL,136
SHERMAN,115,FE,NULL,130
SOUTH LAKE,116,FE,NULL,87
STORM KING,117,FE,NULL,121
TORODA,118,FE,NULL,53
TROUT CREEK,119,FE,NULL,153
