Row Label,PrecinctCode,County,Registered Voters,Terri Jeffreys,B. Dean Byrd
Total,-1,MA,NULL,9412,6355
PICKERING,113,MA,NULL,255,166
HARSTINE,114,MA,NULL,396,227
GRAPEVIEW,115,MA,NULL,317,191
MASON LAKE,116,MA,NULL,235,122
FAIR HARBOR,117,MA,NULL,198,122
ALLYN,118,MA,NULL,466,257
VICTOR,119,MA,NULL,198,109
BELFAIR,120,MA,NULL,224,145
TIGER LAKE,121,MA,NULL,145,90
DEWATTO,122,MA,NULL,299,176
TAHUYA,123,MA,NULL,256,172
SAND HILL,124,MA,NULL,267,191
TRAIL&#39;S END,125,MA,NULL,297,158
TWANOH,126,MA,NULL,166,113
BORDEAUX,205,MA,NULL,28,42
KAMILCHE POINT,207,MA,NULL,143,86
UNION,227,MA,NULL,433,246
SKOKOMISH,228,MA,NULL,49,34
HOOD CANAL,229,MA,NULL,279,208
CUSHMAN,230,MA,NULL,285,213
EELLS,231,MA,NULL,93,78
MATLOCK,232,MA,NULL,239,170
DAYTON,233,MA,NULL,188,184
KAMILCHE,234,MA,NULL,106,84
ISABELLA,235,MA,NULL,163,128
AIRPORT,236,MA,NULL,338,243
JOHN&#39;S PRAIRIE,237,MA,NULL,190,177
LIMERICK,238,MA,NULL,363,239
OLYMPIC VIEW,301,MA,NULL,325,224
DOWNTOWN,302,MA,NULL,241,144
ANGLESIDE,303,MA,NULL,273,212
HILLCREST,304,MA,NULL,184,144
FAWN LAKE,306,MA,NULL,301,221
ARCADIA,308,MA,NULL,301,226
MILL CREEK,309,MA,NULL,353,238
AGATE,310,MA,NULL,267,168
OAKLAND BAY,311,MA,NULL,186,193
TIMBERLAKE,312,MA,NULL,357,207
CALLANAN,339,MA,NULL,8,7
