Row Label,PrecinctCode,County,Registered Voters,John Snaza
Total,-1,TH,NULL,59154
Cougar Mountain,28,TH,NULL,63
Clear Lake,30,TH,NULL,408
Lackamas,31,TH,NULL,103
Morris,32,TH,NULL,313
Evergreen Ballroom,33,TH,NULL,308
Trails End,34,TH,NULL,471
Kaiser,35,TH,NULL,107
Rich,36,TH,NULL,207
Delta,38,TH,NULL,2
Jones Beach,39,TH,NULL,157
Simmons 9,42,TH,NULL,5
University North,43,TH,NULL,109
Steamboat Island,44,TH,NULL,199
Rocky Prairie,45,TH,NULL,173
Lawrence Lake,46,TH,NULL,332
Woodard Creek,47,TH,NULL,219
Michigan Hill,48,TH,NULL,149
Scott Lake South,49,TH,NULL,204
Salmon Creek,50,TH,NULL,152
Spurgeon Creek,51,TH,NULL,124
James,52,TH,NULL,253
Vail,53,TH,NULL,323
Rochester 5,54,TH,NULL,298
Rochester 4,55,TH,NULL,206
Medicine Creek,57,TH,NULL,129
Skokomish,58,TH,NULL,214
Pleasant Hill,59,TH,NULL,271
Smith Prairie,60,TH,NULL,322
Black River,62,TH,NULL,377
Ames,63,TH,NULL,206
Airport,64,TH,NULL,25
Luhr Beach,65,TH,NULL,293
Fish Trap,66,TH,NULL,169
Quince,67,TH,NULL,4
Simmons 2,68,TH,NULL,4
Simmons 3,69,TH,NULL,11
Simmons 4,70,TH,NULL,13
Pines,74,TH,NULL,216
Long Lake,75,TH,NULL,64
Hawk Acres,76,TH,NULL,189
Zenkner Valley,77,TH,NULL,71
Tri Lakes,78,TH,NULL,145
University South,79,TH,NULL,147
Tolmie,80,TH,NULL,115
Military,81,TH,NULL,130
Glen Terra,82,TH,NULL,85
Prine,83,TH,NULL,48
Glenwood,84,TH,NULL,90
Greenridge,86,TH,NULL,167
Woodland,88,TH,NULL,235
Tilley,89,TH,NULL,302
Sweet Briar,90,TH,NULL,346
Deerbrush,91,TH,NULL,295
Mushroom Corner,92,TH,NULL,248
Trailblazer,93,TH,NULL,96
Frye Cove,94,TH,NULL,285
Oyster Bay,95,TH,NULL,270
Summit Lake,96,TH,NULL,230
Delridge,97,TH,NULL,69
Marvin,98,TH,NULL,297
Alpine,99,TH,NULL,414
Hewitt Lake,100,TH,NULL,320
Zangle,101,TH,NULL,233
Boston Harbor,102,TH,NULL,284
Gull Harbor,103,TH,NULL,163
Friendly Grove,104,TH,NULL,144
South Bay,105,TH,NULL,305
Puget,106,TH,NULL,337
Bigelow,107,TH,NULL,227
Pleasant Glade,109,TH,NULL,149
Montgomery,110,TH,NULL,122
Nisqually,111,TH,NULL,208
Roosevelt,112,TH,NULL,275
Kinwood,113,TH,NULL,215
Mckinley,114,TH,NULL,86
Forest,115,TH,NULL,374
St Clair,116,TH,NULL,253
Hicks,117,TH,NULL,43
Fleetwood,118,TH,NULL,334
Lydia Hawk,119,TH,NULL,427
Hays,120,TH,NULL,184
Indian Summer,121,TH,NULL,295
Chambers,122,TH,NULL,418
Freedom,123,TH,NULL,337
Fristoe,124,TH,NULL,182
Deschutes,125,TH,NULL,305
Longmire,126,TH,NULL,180
