Row Label,PrecinctCode,County,Registered Voters,Lisa L. Sutton
Total,-1,CM,NULL,16133
PORT ANGELES 101,101,CM,NULL,230
PORT ANGELES 102,102,CM,NULL,363
PORT ANGELES 103,103,CM,NULL,378
PORT ANGELES 104,104,CM,NULL,270
PORT ANGELES 105,105,CM,NULL,351
PORT ANGELES 106,106,CM,NULL,283
PORT ANGELES 107,107,CM,NULL,377
PORT ANGELES 108,108,CM,NULL,189
PORT ANGELES 109,109,CM,NULL,438
PORT ANGELES 110,110,CM,NULL,104
PORT ANGELES 111,111,CM,NULL,410
PORT ANGELES 112,112,CM,NULL,227
PORT ANGELES 113,113,CM,NULL,231
AGNEW 201,201,CM,NULL,257
BEAVER 204,204,CM,NULL,185
BELLEVIEW 205,205,CM,NULL,342
BELL HILL 207,207,CM,NULL,295
BLACK DIAMOND 208,208,CM,NULL,171
BLUE MOUNTAIN 209,209,CM,NULL,288
BLUFFS 210,210,CM,NULL,172
BLYN 211,211,CM,NULL,240
BOGACHIEL 212,212,CM,NULL,96
CARLSBORG 214,214,CM,NULL,228
CLALLAM BAY 215,215,CM,NULL,155
CLARK 216,216,CM,NULL,123
CLINE 217,217,CM,NULL,291
COYOTE 218,218,CM,NULL,352
DEER PARK 220,220,CM,NULL,318
DIAMOND POINT 221,221,CM,NULL,322
DUNGENESS EAST 222,222,CM,NULL,331
DUNGENESS WEST 223,223,CM,NULL,148
DRY CREEK 224,224,CM,NULL,275
EAGLE 226,226,CM,NULL,238
ELK 229,229,CM,NULL,72
ELWHA 230,230,CM,NULL,86
FAIRVIEW 232,232,CM,NULL,301
FRESHWATER BAY 233,233,CM,NULL,357
HAPPY VALLEY 237,237,CM,NULL,149
JAMESTOWN 240,240,CM,NULL,194
JOYCE 241,241,CM,NULL,316
LOST MOUNTAIN 245,245,CM,NULL,169
MILLER PENINSULA 246,246,CM,NULL,154
MACLEAY 247,247,CM,NULL,282
MADISON CREEK 248,248,CM,NULL,107
MONTERRA 249,249,CM,NULL,295
MOUNT ANGELES 250,250,CM,NULL,171
MOUNT PLEASANT 251,251,CM,NULL,272
NEAH BAY 252,252,CM,NULL,153
OBRIEN 253,253,CM,NULL,244
OLYMPIC 254,254,CM,NULL,204
PORT WILLIAMS 258,258,CM,NULL,179
PRAIRIE NORTH 259,259,CM,NULL,249
PRAIRIE SOUTH 260,260,CM,NULL,296
QUILEUTE 262,262,CM,NULL,98
RIVERSIDE 265,265,CM,NULL,275
ROBIN HILL 266,266,CM,NULL,220
SUN 269,269,CM,NULL,95
SUNLAND NORTH 270,270,CM,NULL,330
SUNLAND SOUTH 271,271,CM,NULL,216
FORKS 301,301,CM,NULL,156
FORKS 302,302,CM,NULL,216
SEQUIM 401,401,CM,NULL,172
SEQUIM 402,402,CM,NULL,186
SEQUIM 403,403,CM,NULL,328
SEQUIM 404,404,CM,NULL,395
SEQUIM 405,405,CM,NULL,252
SEQUIM 406,406,CM,NULL,266
