Row Label,PrecinctCode,County,Registered Voters,Warren McLeod
Total,-1,LE,NULL,17618
Adna ,1,LE,NULL,470
Agate,2,LE,NULL,137
Alpha,3,LE,NULL,365
Berwick,4,LE,NULL,403
Big Bottom,5,LE,NULL,282
Boistfort,6,LE,NULL,102
Cinebar,7,LE,NULL,234
Claquato,8,LE,NULL,272
Cowlitz,9,LE,NULL,435
Crego,10,LE,NULL,631
Curtis,11,LE,NULL,111
Drews Prairie,12,LE,NULL,141
Dryad,13,LE,NULL,90
Elk Crk,14,LE,NULL,95
Emery,15,LE,NULL,155
Emery North,16,LE,NULL,2
Ethel,17,LE,NULL,345
Evaline East,18,LE,NULL,93
Evaline West,19,LE,NULL,152
Fair,20,LE,NULL,0
Fords Prairie,21,LE,NULL,317
Forest,22,LE,NULL,302
Greenwood,23,LE,NULL,11
Harmony,24,LE,NULL,264
Independence,25,LE,NULL,54
Jackson,26,LE,NULL,346
Jackson North,27,LE,NULL,0
Kelly,28,LE,NULL,0
Klickitat,29,LE,NULL,162
Lincoln Creek,30,LE,NULL,222
Logan,31,LE,NULL,263
Mauermann,32,LE,NULL,62
Mellen,33,LE,NULL,1
Meskill,34,LE,NULL,52
Mineral,35,LE,NULL,140
Newaukum,36,LE,NULL,248
Onalaska,37,LE,NULL,513
Packwood,38,LE,NULL,74
Paradise,39,LE,NULL,37
Parcuvia,40,LE,NULL,219
Prescott,41,LE,NULL,537
Randle East,42,LE,NULL,235
Randle West,43,LE,NULL,189
Roswell,44,LE,NULL,9
Salkum,45,LE,NULL,233
Salmon Creek,46,LE,NULL,449
Salzer,47,LE,NULL,123
Sears,48,LE,NULL,205
Seminary Hill,49,LE,NULL,143
Silver Creek,50,LE,NULL,271
Skookumchuck,51,LE,NULL,268
Sommerville,52,LE,NULL,47
Stearns Creek,53,LE,NULL,108
Stillwater East,54,LE,NULL,74
Stillwater West,55,LE,NULL,143
Temple,56,LE,NULL,205
Union,57,LE,NULL,202
Urquhart,58,LE,NULL,168
Veness,59,LE,NULL,277
Verndale,60,LE,NULL,253
Whealdon,61,LE,NULL,199
Centralia #1,101,LE,NULL,119
Centralia #2,102,LE,NULL,310
Centralia #3,103,LE,NULL,116
Centralia #4,104,LE,NULL,179
Centralia #5,105,LE,NULL,132
Centralia #6,106,LE,NULL,245
Centralia #7,107,LE,NULL,125
Centralia #8,108,LE,NULL,147
Centralia #9,109,LE,NULL,295
Centralia #10,110,LE,NULL,125
Centralia #11,111,LE,NULL,303
Centralia #12,112,LE,NULL,370
Centralia #13,113,LE,NULL,375
Chehalis #1,201,LE,NULL,205
Chehalis #2,202,LE,NULL,145
Chehalis #3,203,LE,NULL,155
Chehalis #4,204,LE,NULL,147
Chehalis #5,205,LE,NULL,132
Chehalis #6,206,LE,NULL,278
Chehalis #7,207,LE,NULL,47
Chehalis #8,208,LE,NULL,205
Chehalis #9,209,LE,NULL,12
Morton,300,LE,NULL,213
Mossyrock,400,LE,NULL,111
Napavine #1,501,LE,NULL,364
Napavine #2,502,LE,NULL,0
Napavine #3,503,LE,NULL,3
Napavine #4,504,LE,NULL,0
Napavine #5,505,LE,NULL,0
Napavine #6,506,LE,NULL,0
Pe Ell,600,LE,NULL,156
Toledo,700,LE,NULL,147
Vader,800,LE,NULL,104
Winlock,900,LE,NULL,213
