Row Label,PrecinctCode,County,Registered Voters,Philip J. Van de Veer
Total,-1,PE,NULL,3536
Camden,1,PE,NULL,103
Cusick,2,PE,NULL,90
Dalkena,3,PE,NULL,208
Diamond Lk East,4,PE,NULL,88
Fertile Valley North,5,PE,NULL,110
Furport,6,PE,NULL,181
Ione East,7,PE,NULL,118
Ione West,8,PE,NULL,139
Metaline,9,PE,NULL,66
Metaline Falls,10,PE,NULL,125
Tiger Dry Canyon,11,PE,NULL,212
Newport NE,12,PE,NULL,197
Newport SE,13,PE,NULL,94
Newport NW,14,PE,NULL,186
Newport SW,15,PE,NULL,141
Noble,16,PE,NULL,229
Ruby,17,PE,NULL,21
Sacheen,18,PE,NULL,171
Usk,19,PE,NULL,136
Diamond Lk West,20,PE,NULL,126
Deer Valley North,21,PE,NULL,164
Locke,22,PE,NULL,30
Kalispel Leclerc,23,PE,NULL,115
Skookum,24,PE,NULL,48
Deer Valley South,25,PE,NULL,57
Fertile Valley South,26,PE,NULL,118
Diamond Lk,27,PE,NULL,263
