Row Label,PrecinctCode,County,Registered Voters,Selinda Barkhuis
Total,-1,CM,NULL,17312
PORT ANGELES 101,101,CM,NULL,238
PORT ANGELES 102,102,CM,NULL,390
PORT ANGELES 103,103,CM,NULL,395
PORT ANGELES 104,104,CM,NULL,291
PORT ANGELES 105,105,CM,NULL,388
PORT ANGELES 106,106,CM,NULL,303
PORT ANGELES 107,107,CM,NULL,417
PORT ANGELES 108,108,CM,NULL,210
PORT ANGELES 109,109,CM,NULL,464
PORT ANGELES 110,110,CM,NULL,104
PORT ANGELES 111,111,CM,NULL,448
PORT ANGELES 112,112,CM,NULL,236
PORT ANGELES 113,113,CM,NULL,247
AGNEW 201,201,CM,NULL,277
BEAVER 204,204,CM,NULL,190
BELLEVIEW 205,205,CM,NULL,353
BELL HILL 207,207,CM,NULL,313
BLACK DIAMOND 208,208,CM,NULL,193
BLUE MOUNTAIN 209,209,CM,NULL,327
BLUFFS 210,210,CM,NULL,190
BLYN 211,211,CM,NULL,261
BOGACHIEL 212,212,CM,NULL,99
CARLSBORG 214,214,CM,NULL,241
CLALLAM BAY 215,215,CM,NULL,171
CLARK 216,216,CM,NULL,131
CLINE 217,217,CM,NULL,318
COYOTE 218,218,CM,NULL,366
DEER PARK 220,220,CM,NULL,335
DIAMOND POINT 221,221,CM,NULL,334
DUNGENESS EAST 222,222,CM,NULL,368
DUNGENESS WEST 223,223,CM,NULL,172
DRY CREEK 224,224,CM,NULL,297
EAGLE 226,226,CM,NULL,254
ELK 229,229,CM,NULL,86
ELWHA 230,230,CM,NULL,97
FAIRVIEW 232,232,CM,NULL,321
FRESHWATER BAY 233,233,CM,NULL,400
HAPPY VALLEY 237,237,CM,NULL,164
JAMESTOWN 240,240,CM,NULL,202
JOYCE 241,241,CM,NULL,353
LOST MOUNTAIN 245,245,CM,NULL,181
MILLER PENINSULA 246,246,CM,NULL,159
MACLEAY 247,247,CM,NULL,302
MADISON CREEK 248,248,CM,NULL,120
MONTERRA 249,249,CM,NULL,306
MOUNT ANGELES 250,250,CM,NULL,196
MOUNT PLEASANT 251,251,CM,NULL,304
NEAH BAY 252,252,CM,NULL,153
OBRIEN 253,253,CM,NULL,274
OLYMPIC 254,254,CM,NULL,211
PORT WILLIAMS 258,258,CM,NULL,184
PRAIRIE NORTH 259,259,CM,NULL,266
PRAIRIE SOUTH 260,260,CM,NULL,325
QUILEUTE 262,262,CM,NULL,105
RIVERSIDE 265,265,CM,NULL,294
ROBIN HILL 266,266,CM,NULL,244
SUN 269,269,CM,NULL,106
SUNLAND NORTH 270,270,CM,NULL,352
SUNLAND SOUTH 271,271,CM,NULL,225
FORKS 301,301,CM,NULL,172
FORKS 302,302,CM,NULL,231
SEQUIM 401,401,CM,NULL,186
SEQUIM 402,402,CM,NULL,189
SEQUIM 403,403,CM,NULL,335
SEQUIM 404,404,CM,NULL,406
SEQUIM 405,405,CM,NULL,267
SEQUIM 406,406,CM,NULL,275
