Row Label,PrecinctCode,County,Registered Voters,Allen McPheeters,Strom Peterson
Total,-1,SN,NULL,14799,22221
MUKILTEO  1,22121192,SN,NULL,170,251
MUKILTEO  2,22121193,SN,NULL,171,298
MUKILTEO  3,22121194,SN,NULL,113,146
EVERETT  56,22121259,SN,NULL,101,136
EVERETT  57,22121260,SN,NULL,107,158
MUKILTEO  4,22121262,SN,NULL,105,135
MUKILTEO  5,22121263,SN,NULL,197,241
MUKILTEO  7,22121306,SN,NULL,106,145
MUKILTEO  8,22121307,SN,NULL,93,146
MUKILTEO  9,22121355,SN,NULL,127,185
MUKILTEO 11,22121378,SN,NULL,122,152
MUKILTEO 12,22121379,SN,NULL,182,278
MUKILTEO 13,22121380,SN,NULL,155,179
MUKILTEO 14,22121381,SN,NULL,179,220
MUKILTEO 16,22121382,SN,NULL,168,248
MUKILTEO 18,22121383,SN,NULL,193,223
EVERETT  35,22121400,SN,NULL,146,153
EVERETT  64,22121405,SN,NULL,59,72
EVERETT  65,22121406,SN,NULL,108,128
EVERETT  66,22121407,SN,NULL,93,186
EVERETT  84,22121448,SN,NULL,28,56
MUKILTEO 19,22121474,SN,NULL,139,134
MUKILTEO 20,22121475,SN,NULL,168,220
EVERETT  91,22121491,SN,NULL,80,116
EVERETT  52,22121615,SN,NULL,96,151
EVERETT  61,22121616,SN,NULL,28,26
EVERETT  79,22121621,SN,NULL,106,150
EVERETT  83(*),22121622,SN,NULL,0,0
EVERETT  92(*),22121624,SN,NULL,0,0
MUKILTEO  6,22121631,SN,NULL,145,183
MUKILTEO 15,22121632,SN,NULL,53,52
MUKILTEO 17,22121633,SN,NULL,190,236
MUKILTEO 10,22121655,SN,NULL,82,142
EVERETT  95,22121697,SN,NULL,61,71
MUKILTEO 21,22121704,SN,NULL,86,111
HIWAY,22124068,SN,NULL,9,24
SHELBY,22124100,SN,NULL,89,149
LIND,22124185,SN,NULL,88,193
YORK,22124274,SN,NULL,146,175
WINGATE,22124337,SN,NULL,155,176
STOCK SHOW,22124486,SN,NULL,68,84
OLIVIA,22124589,SN,NULL,14,29
LYNNWOOD 19,22131422,SN,NULL,128,166
LYNNWOOD 34,22131538,SN,NULL,57,104
MEADOWDALE,22134040,SN,NULL,98,177
EMANDER,22134063,SN,NULL,109,187
ASH,22134076,SN,NULL,159,227
MANOR,22134079,SN,NULL,89,190
MANORDALE,22134080,SN,NULL,112,147
SERENE,22134082,SN,NULL,124,165
STICKNEY,22134084,SN,NULL,155,147
FIELD,22134088,SN,NULL,124,159
ALICIA,22134150,SN,NULL,142,189
CASCADE,22134152,SN,NULL,71,125
GROVE,22134183,SN,NULL,157,188
PIONEER,22134195,SN,NULL,121,156
GIBSON,22134265,SN,NULL,69,132
HEMLOCK,22134268,SN,NULL,158,244
COVE,22134282,SN,NULL,115,161
EMERALD,22134286,SN,NULL,137,131
PICNIC POINT,22134314,SN,NULL,110,137
SHORE,22134320,SN,NULL,135,193
NORMA,22134356,SN,NULL,83,151
PUGET,22134359,SN,NULL,99,164
SHADOW WOOD,22134362,SN,NULL,93,186
ALDER,22134368,SN,NULL,107,150
KEELER,22134373,SN,NULL,92,146
MARINER,22134427,SN,NULL,103,131
POST,22134434,SN,NULL,118,161
HAMPTON,22134456,SN,NULL,119,192
HIPOINT,22134459,SN,NULL,56,132
JEFF,22134460,SN,NULL,91,124
MADISON,22134463,SN,NULL,169,224
WOODGATE,22134489,SN,NULL,82,80
FAIRWOOD,22134492,SN,NULL,61,79
STONE GATE,22134497,SN,NULL,75,160
HILLMAN,22134501,SN,NULL,117,146
BEVERLY,22134520,SN,NULL,101,177
ADMIRALTY,22134642,SN,NULL,76,136
AVALON,22134688,SN,NULL,50,91
DALE,22134692,SN,NULL,121,168
JEFFERSON,22134699,SN,NULL,72,133
LUNDS GULCH,22134758,SN,NULL,35,75
MARTHA LAKE,22144081,SN,NULL,148,161
EAST SHORE,22144131,SN,NULL,132,157
FREEWAY,22144166,SN,NULL,142,160
ROYAL,22144209,SN,NULL,207,214
CASCADIAN,22144279,SN,NULL,163,199
CLOVER,22144280,SN,NULL,112,127
KENTISH,22144297,SN,NULL,98,128
WALNUT,22144331,SN,NULL,93,115
EVERGREEN,22144415,SN,NULL,82,108
FOREST,22144455,SN,NULL,133,182
NORTHROAD,22144476,SN,NULL,157,220
RHODY RIDGE,22144481,SN,NULL,93,114
FILBERT,22144527,SN,NULL,157,208
MEADOWCREST,22144546,SN,NULL,120,163
TERRACE,22144556,SN,NULL,25,42
ELFIN,22144578,SN,NULL,84,77
BUTTERNUT,22144689,SN,NULL,124,160
POPPY,22144707,SN,NULL,90,104
EDMONDS  1,72131101,SN,NULL,143,194
EDMONDS  2,72131102,SN,NULL,128,230
EDMONDS  3,72131103,SN,NULL,113,271
EDMONDS  4,72131104,SN,NULL,87,225
EDMONDS  5,72131105,SN,NULL,79,137
EDMONDS  7,72131107,SN,NULL,125,291
EDMONDS  8,72131108,SN,NULL,159,293
EDMONDS  9,72131109,SN,NULL,87,149
EDMONDS 10,72131110,SN,NULL,130,268
EDMONDS 13,72131111,SN,NULL,106,310
EDMONDS 17,72131127,SN,NULL,87,203
EDMONDS 22,72131147,SN,NULL,108,225
EDMONDS 23,72131148,SN,NULL,178,244
EDMONDS 28,72131155,SN,NULL,111,213
EDMONDS 29,72131156,SN,NULL,93,257
EDMONDS 30,72131157,SN,NULL,85,181
EDMONDS 31,72131158,SN,NULL,117,235
EDMONDS 32,72131159,SN,NULL,110,204
EDMONDS 33,72131160,SN,NULL,92,203
EDMONDS 34,72131161,SN,NULL,107,236
EDMONDS 35,72131162,SN,NULL,117,169
EDMONDS 36,72131163,SN,NULL,105,218
EDMONDS 37,72131164,SN,NULL,111,201
EDMONDS 21,72131390,SN,NULL,192,242
EDMONDS 24,72131391,SN,NULL,79,163
EDMONDS 26,72131392,SN,NULL,89,160
EDMONDS 38,72131393,SN,NULL,136,218
EDMONDS 39,72131447,SN,NULL,172,255
EDMONDS 46,72131524,SN,NULL,215,337
EDMONDS 51,72131565,SN,NULL,110,204
EDMONDS 11,72131694,SN,NULL,147,237
