Row Label,PrecinctCode,County,Registered Voters,Greg Sandstrom,Jeff Wallis
Total,-1,KP,NULL,52492,24812
BREMERTON 001,100001,KP,NULL,130,102
BREMERTON 002,100002,KP,NULL,97,84
BREMERTON 003,100003,KP,NULL,226,153
BREMERTON 005,100005,KP,NULL,144,118
BREMERTON 006,100006,KP,NULL,136,119
BREMERTON 007,100007,KP,NULL,5,5
BREMERTON 012,100012,KP,NULL,53,44
BREMERTON 013,100013,KP,NULL,208,161
BREMERTON 015,100015,KP,NULL,249,176
BREMERTON 016,100016,KP,NULL,54,48
BREMERTON 022,100022,KP,NULL,169,129
BREMERTON 029,100029,KP,NULL,223,144
BREMERTON 030,100030,KP,NULL,257,115
BREMERTON 031,100031,KP,NULL,155,62
BREMERTON 032,100032,KP,NULL,24,31
BREMERTON 037,100037,KP,NULL,404,143
BREMERTON 040,100040,KP,NULL,247,139
BREMERTON 041,100041,KP,NULL,221,112
BREMERTON 046,100046,KP,NULL,267,142
BREMERTON 051,100051,KP,NULL,25,14
BREMERTON 052,100052,KP,NULL,181,101
BREMERTON 053,100053,KP,NULL,340,191
BREMERTON 054,100054,KP,NULL,149,87
BREMERTON 056,100056,KP,NULL,248,117
BREMERTON 058,100058,KP,NULL,278,149
ILLAHEE 065,100065,KP,NULL,375,148
SYLVAN 066,100066,KP,NULL,288,161
RAINIER 067,100067,KP,NULL,346,155
PERRY 073,100073,KP,NULL,191,84
UELAND 082,100082,KP,NULL,0,0
ROCKY POINT 083,100083,KP,NULL,373,212
RIDGEWAY 084,100084,KP,NULL,99,28
KITSAP LAKE 085(*),100085,KP,NULL,0,0
POWERLINE 086(*),100086,KP,NULL,0,0
BAYVIEW 087,100087,KP,NULL,80,50
BREMERTON 088,100088,KP,NULL,44,25
MARION 090,100090,KP,NULL,45,42
NAVY YARD CITY 095,100095,KP,NULL,255,168
OLYMPIC 099,100099,KP,NULL,38,17
TRIDENT 101,100101,KP,NULL,57,45
FRONTIER 102,100102,KP,NULL,387,152
OLYMPIC VIEW 103,100103,KP,NULL,293,89
BROWNSVILLE 105,100105,KP,NULL,453,187
OLD FRONTIER 106,100106,KP,NULL,421,138
BREMERTON 107,100107,KP,NULL,0,0
BREMERTON 109,100109,KP,NULL,21,18
CHARLAND 110,100110,KP,NULL,266,97
ALPINE 111,100111,KP,NULL,282,107
HERITAGE PARK 112,100112,KP,NULL,266,85
COUNTRY CLUB 113,100113,KP,NULL,183,82
BREMERTON 114,100114,KP,NULL,0,0
CLEAR CREEK 120,100120,KP,NULL,307,120
BUCKLIN 121,100121,KP,NULL,369,142
LUOTO 122,100122,KP,NULL,186,76
COTTONWOOD 125,100125,KP,NULL,276,129
FOREST RIDGE 126,100126,KP,NULL,195,83
WOODMERE 127,100127,KP,NULL,389,161
CENTRAL VALLEY 128,100128,KP,NULL,352,156
WINSTON 129,100129,KP,NULL,151,55
ERLANDS POINT 130,100130,KP,NULL,242,101
REGAL 131,100131,KP,NULL,79,46
FAIRVIEW 135,100135,KP,NULL,211,78
FIRGLADE 137,100137,KP,NULL,221,89
TIBARDIS 139,100139,KP,NULL,147,63
GILBERTON 140,100140,KP,NULL,271,122
RIDGEPOINT 141,100141,KP,NULL,240,105
UNIVERSITY POINT 142,100142,KP,NULL,230,90
KARIOTIS 143,100143,KP,NULL,291,171
CAMBRIDGE 144,100144,KP,NULL,235,65
SPINNAKER 146,100146,KP,NULL,215,105
BARKER CREEK 147,100147,KP,NULL,386,166
SANTA FE 148,100148,KP,NULL,267,122
