Row Label,PrecinctCode,County,Registered Voters,Jeff Morris
Total,-1,SK,NULL,12461
DUNBAR,104,SK,NULL,62
AVON,105,SK,NULL,266
BAY VIEW,108,SK,NULL,250
BELFAST,109,SK,NULL,153
BOW,113,SK,NULL,398
EDISON,122,SK,NULL,179
GEAR,126,SK,NULL,273
GUEMES,127,SK,NULL,302
LOOKOUT,132,SK,NULL,329
MAPES,134,SK,NULL,106
MARCH POINT,135,SK,NULL,18
POINT WILLIAMS,146,SK,NULL,249
FIDALGO,164,SK,NULL,344
BLANCHARD,168,SK,NULL,318
VIEW TERRACE,170,SK,NULL,4
RIVERBEND,173,SK,NULL,17
PADILLA,174,SK,NULL,67
ANACORTES  1,201,SK,NULL,287
ANACORTES  4,204,SK,NULL,220
ANACORTES 5,205,SK,NULL,7
ANACORTES  6,206,SK,NULL,273
ANACORTES  7,207,SK,NULL,601
ANACORTES  9,209,SK,NULL,312
ANACORTES 11,211,SK,NULL,429
ANACORTES 17,217,SK,NULL,550
ANACORTES 20,220,SK,NULL,470
ANACORTES 21,221,SK,NULL,583
ANACORTES 22,222,SK,NULL,413
ANACORTES 24,224,SK,NULL,628
MOUNT VERNON  1,301,SK,NULL,117
MOUNT VERNON  2,302,SK,NULL,142
MOUNT VERNON  3,303,SK,NULL,279
MOUNT VERNON  4,304,SK,NULL,426
MOUNT VERNON  5,305,SK,NULL,84
MOUNT VERNON  6,306,SK,NULL,262
MOUNT VERNON 14,314,SK,NULL,379
MOUNT VERNON 15,315,SK,NULL,185
MOUNT VERNON 19,319,SK,NULL,326
MOUNT VERNON 21,321,SK,NULL,475
MOUNT VERNON 22,322,SK,NULL,494
BURLINGTON 1,501,SK,NULL,142
BURLINGTON 2,502,SK,NULL,161
BURLINGTON 3,503,SK,NULL,83
BURLINGTON 4,504,SK,NULL,216
BURLINGTON 5,505,SK,NULL,274
BURLINGTON 6,506,SK,NULL,153
BURLINGTON 7,507,SK,NULL,155
