Row Label,PrecinctCode,County,Registered Voters,Marilyn G. Paja
Total,-1,KP,NULL,53258
BREMERTON 001,100001,KP,NULL,175
BREMERTON 002,100002,KP,NULL,115
BREMERTON 003,100003,KP,NULL,284
BREMERTON 005,100005,KP,NULL,207
BREMERTON 006,100006,KP,NULL,192
BREMERTON 007,100007,KP,NULL,5
BREMERTON 012,100012,KP,NULL,72
BREMERTON 013,100013,KP,NULL,258
BREMERTON 015,100015,KP,NULL,302
BREMERTON 016,100016,KP,NULL,71
BREMERTON 022,100022,KP,NULL,228
BREMERTON 029,100029,KP,NULL,262
BREMERTON 030,100030,KP,NULL,262
BREMERTON 031,100031,KP,NULL,144
BREMERTON 032,100032,KP,NULL,46
BREMERTON 037,100037,KP,NULL,397
BREMERTON 040,100040,KP,NULL,274
BREMERTON 041,100041,KP,NULL,240
BREMERTON 046,100046,KP,NULL,286
BREMERTON 051,100051,KP,NULL,34
BREMERTON 052,100052,KP,NULL,208
BREMERTON 053,100053,KP,NULL,405
BREMERTON 054,100054,KP,NULL,183
BREMERTON 056,100056,KP,NULL,263
BREMERTON 058,100058,KP,NULL,327
ILLAHEE 065,100065,KP,NULL,378
SYLVAN 066,100066,KP,NULL,330
RAINIER 067,100067,KP,NULL,368
PERRY 073,100073,KP,NULL,194
UELAND 082,100082,KP,NULL,0
ROCKY POINT 083,100083,KP,NULL,398
RIDGEWAY 084,100084,KP,NULL,83
KITSAP LAKE 085,100085,KP,NULL,24
POWERLINE 086,100086,KP,NULL,3
BAYVIEW 087,100087,KP,NULL,93
BREMERTON 088,100088,KP,NULL,51
MARION 090,100090,KP,NULL,66
NAVY YARD CITY 095,100095,KP,NULL,329
OLYMPIC 099,100099,KP,NULL,44
TRIDENT 101,100101,KP,NULL,80
FRONTIER 102,100102,KP,NULL,366
OLYMPIC VIEW 103,100103,KP,NULL,251
BROWNSVILLE 105,100105,KP,NULL,424
OLD FRONTIER 106,100106,KP,NULL,367
BREMERTON 107,100107,KP,NULL,0
BREMERTON 109,100109,KP,NULL,31
CHARLAND 110,100110,KP,NULL,247
ALPINE 111,100111,KP,NULL,267
HERITAGE PARK 112,100112,KP,NULL,222
COUNTRY CLUB 113,100113,KP,NULL,193
BREMERTON 114,100114,KP,NULL,0
CLEAR CREEK 120,100120,KP,NULL,302
BUCKLIN 121,100121,KP,NULL,373
LUOTO 122,100122,KP,NULL,175
COTTONWOOD 125,100125,KP,NULL,296
FOREST RIDGE 126,100126,KP,NULL,210
WOODMERE 127,100127,KP,NULL,408
CENTRAL VALLEY 128,100128,KP,NULL,376
WINSTON 129,100129,KP,NULL,146
ERLANDS POINT 130,100130,KP,NULL,228
