Row Label,PrecinctCode,County,Registered Voters,Rick L. Hansen
Total,-1,KT,NULL,3091
ALDER CREEK,1,KT,NULL,119
CENTERVILLE,2,KT,NULL,247
COLUMBUS,3,KT,NULL,34
E KLICKITAT,4,KT,NULL,74
GLENWOOD,6,KT,NULL,160
PINE FOREST,13,KT,NULL,569
ROOSEVELT,14,KT,NULL,56
TROUT LAKE,16,KT,NULL,0
W KLICKITAT,17,KT,NULL,57
WISHRAM,19,KT,NULL,66
WOODLAND,20,KT,NULL,571
ORCHARD HTS,21,KT,NULL,172
APPLETON,22,KT,NULL,0
ALDERDALE,23,KT,NULL,32
RIVER,27,KT,NULL,18
GOLDENDALE 1,102,KT,NULL,347
GOLDENDALE 2,103,KT,NULL,322
GOLDENDALE 3,104,KT,NULL,247
