Row Label,PrecinctCode,County,Registered Voters,Debra L. Stephens,John (Zamboni) Scannell
Total,-1,GY,NULL,10831,4493
Taholah 002,2,GY,NULL,143,19
Quinault 004,4,GY,NULL,88,39
Neilton 006,6,GY,NULL,38,22
Pacific Beach 008,8,GY,NULL,114,51
Moclips 010,10,GY,NULL,14,5
Ocean City 012,12,GY,NULL,142,69
Burrows 014,14,GY,NULL,11,3
Wilderness 016,16,GY,NULL,48,41
Humptulips 018,18,GY,NULL,19,16
Axford 020,20,GY,NULL,68,37
Dekay 022,22,GY,NULL,39,21
Hoquiam Rural 024,24,GY,NULL,163,71
Stover 026(*),26,GY,NULL,0,0
North Wishkah 028(*),28,GY,NULL,0,0
Wishkah 030,30,GY,NULL,127,80
Cutoff032,32,GY,NULL,45,29
Coats Landing 034,34,GY,NULL,142,62
Geissler 036,36,GY,NULL,24,12
Aberdeen Lake 038(*),38,GY,NULL,0,0
Reynvaan 040,40,GY,NULL,71,27
Wynoochee 042,42,GY,NULL,3,2
Boundary 044,44,GY,NULL,27,12
Black Creek 046,46,GY,NULL,260,113
Brady 048,48,GY,NULL,240,85
Riviera 050,50,GY,NULL,21,10
Satsop 052,52,GY,NULL,91,48
Calder 056,56,GY,NULL,133,58
Bush 058,58,GY,NULL,289,141
McCleary Rural 060,60,GY,NULL,209,91
Porter 062,62,GY,NULL,102,45
Cedar Creek 064,64,GY,NULL,48,39
Chehalis 066(*),66,GY,NULL,0,0
Blockhouse 068,68,GY,NULL,158,73
Delezenne 070,70,GY,NULL,176,83
Melbourne 072,72,GY,NULL,164,81
Devonshire 074,74,GY,NULL,155,40
Vesta 076,76,GY,NULL,35,12
Artic 078,78,GY,NULL,30,21
Central Park 080,80,GY,NULL,330,117
Lois Lane 082,82,GY,NULL,68,25
Blue Slough 084,84,GY,NULL,117,34
Sierra 086(*),86,GY,NULL,0,0
Lund 088,88,GY,NULL,31,18
Newskah 090,90,GY,NULL,11,2
Ocosta 092,92,GY,NULL,0,0
Johns River 094,94,GY,NULL,156,62
Grayland 096,96,GY,NULL,158,86
Cohasset 098,98,GY,NULL,108,42
Aberdeen 111,111,GY,NULL,330,117
Aberdeen 121,121,GY,NULL,282,126
Aberdeen 131,131,GY,NULL,386,146
Aberdeen 132,132,GY,NULL,0,0
Aberdeen 141,141,GY,NULL,281,98
Aberdeen 142,142,GY,NULL,242,71
Aberdeen 151,151,GY,NULL,181,80
Aberdeen 161,161,GY,NULL,293,116
Cosmopolis 201,201,GY,NULL,314,108
Elma 301,301,GY,NULL,122,60
Elma 302,302,GY,NULL,257,107
Hoquiam 411,411,GY,NULL,183,96
Hoquiam 421,421,GY,NULL,187,59
Hoquiam 431,431,GY,NULL,195,97
Hoquiam 441,441,GY,NULL,204,80
Hoquiam 451,451,GY,NULL,162,81
Hoquiam 461,461,GY,NULL,160,67
McCleary 501,501,GY,NULL,222,80
Montesano 601,601,GY,NULL,381,120
Montesano 602,602,GY,NULL,366,159
Montesano 603,603,GY,NULL,0,0
Oakville 701,701,GY,NULL,86,40
Ocean Shores 801,801,GY,NULL,343,152
Ocean Shores 802,802,GY,NULL,462,202
Ocean Shores 803,803,GY,NULL,419,152
Westport 901,901,GY,NULL,314,121
