Row Label,PrecinctCode,County,Registered Voters,Debra L. Stephens,John (Zamboni) Scannell
Total,-1,WK,NULL,865,364
01 - DEEP RIVER,1,WK,NULL,45,28
02 - GRAYS RIVER,2,WK,NULL,51,36
03 - ROSBURG / ALTOONA,3,WK,NULL,83,19
04 - SKAMOKAWA,4,WK,NULL,72,43
05 - ELOCHOMAN,5,WK,NULL,120,44
06 - ROSEDALE,6,WK,NULL,76,22
07 - COLUMBIA,7,WK,NULL,102,53
08 - EAST PUGET ISLAND,8,WK,NULL,63,38
09 - WEST PUGET ISLAND,9,WK,NULL,142,48
10 - SOUTH CATHLAMET,10,WK,NULL,75,20
11 - NORTH CATHLAMET,11,WK,NULL,36,13
