Row Label,PrecinctCode,County,Registered Voters,Dave Rodriguez,Gary V. Reams
Total,-1,OK,NULL,7970,3112
ALMA,1,OK,NULL,34,11
ANGLIN,2,OK,NULL,47,22
BEEMAN,3,OK,NULL,55,15
BODIE,4,OK,NULL,16,2
BONAPARTE,5,OK,NULL,26,4
BOSTON,6,OK,NULL,53,27
BREWSTER RURAL,7,OK,NULL,48,8
CARLTON,8,OK,NULL,40,12
CHESAW,9,OK,NULL,31,13
CONCONULLY RURAL,10,OK,NULL,33,12
DUCK LAKE,11,OK,NULL,21,15
DULEY LAKE,12,OK,NULL,25,7
EASTLAKE,13,OK,NULL,21,5
EASTSIDE,14,OK,NULL,53,35
ELLISFORDE,15,OK,NULL,53,15
ELMERTON,16,OK,NULL,51,34
ELMWAY,17,OK,NULL,29,11
HAVILLAH,18,OK,NULL,51,20
LOOMIS,19,OK,NULL,51,14
MALOTT,20,OK,NULL,62,25
MAZAMA,21,OK,NULL,87,12
METHOW,22,OK,NULL,67,14
MISSION,23,OK,NULL,23,14
MOLSON,24,OK,NULL,43,23
MONSE #1,25,OK,NULL,54,14
NESPELEM RURAL,27,OK,NULL,16,12
NIGHTHAWK,28,OK,NULL,12,5
NORTH OMAK,29,OK,NULL,23,7
PATEROS RURAL,30,OK,NULL,39,5
PINE CREEK,31,OK,NULL,28,10
POGUE,32,OK,NULL,63,19
RIVERSIDE RURAL,33,OK,NULL,73,28
SAN POIL,34,OK,NULL,51,30
SOUTH OROVILLE,35,OK,NULL,50,8
SPRING COULEE,36,OK,NULL,51,20
TONASKET RURAL,37,OK,NULL,23,9
TUNK CREEK,38,OK,NULL,53,37
TWISP RURAL,39,OK,NULL,57,16
WOLF CREEK,40,OK,NULL,53,11
WAUCONDA,41,OK,NULL,32,20
WESTLAKE,42,OK,NULL,25,7
WHITESTONE,43,OK,NULL,31,6
WINTHROP RURAL,44,OK,NULL,79,20
CHILIWIST,45,OK,NULL,36,15
MONSE #3,46,OK,NULL,24,12
OKANOGAN RURAL,47,OK,NULL,30,11
AENEAS,48,OK,NULL,27,19
COLUMBIA,49,OK,NULL,8,19
CRUMBACHER,50,OK,NULL,55,16
DISAUTEL,51,OK,NULL,12,9
HUDSON,52,OK,NULL,26,6
KIPLING,53,OK,NULL,26,13
ORCHARD,54,OK,NULL,29,18
TORODA,55,OK,NULL,45,20
BEAVER CREEK,56,OK,NULL,29,9
BLACK CANYON,57,OK,NULL,32,18
BUFFALO LAKE,58,OK,NULL,7,13
COPPLE,59,OK,NULL,50,11
EDELWEISS,60,OK,NULL,66,18
ENGH,61,OK,NULL,57,16
FINLEY CANYON,62,OK,NULL,69,24
JANIS,63,OK,NULL,20,12
LEESE,64,OK,NULL,18,7
LIBBY CREEK,65,OK,NULL,69,19
MCGINNIS LAKE,66,OK,NULL,6,5
NORTH STAR,67,OK,NULL,8,12
OWHI,68,OK,NULL,14,17
PALMER LAKE,69,OK,NULL,32,15
PINE CONE,70,OK,NULL,24,10
POORMAN CREEK,71,OK,NULL,94,17
SAND FLAT,72,OK,NULL,55,21
SOURDOUGH,74,OK,NULL,43,19
TWIN LAKES,75,OK,NULL,82,20
VALLEY,76,OK,NULL,29,15
WANNACUT,77,OK,NULL,49,20
WEST CHEWUCH,78,OK,NULL,56,15
CANAL,79,OK,NULL,23,15
AIRPORT,81,OK,NULL,56,12
BALKY HILL,82,OK,NULL,49,8
BRIDGE CREEK,83,OK,NULL,40,18
CROSSROADS,84,OK,NULL,40,5
DAVIS LAKE,85,OK,NULL,67,10
GREENACRES,86,OK,NULL,28,10
JOHNSON CREEK,87,OK,NULL,35,24
LEWIS BUTTE,88,OK,NULL,58,28
LIME BELT,89,OK,NULL,18,15
MCCLURE MTN,90,OK,NULL,76,17
MOCCASIN LAKE,91,OK,NULL,72,20
NORTH MALOTT,92,OK,NULL,62,10
PATTERSON LAKE,93,OK,NULL,78,12
PEARRYGIN LAKE,94,OK,NULL,45,8
BOUNDARY,95,OK,NULL,36,15
BUCKHORN MTN,96,OK,NULL,32,17
EDER,97,OK,NULL,45,5
HORSESHOE LAKE,98,OK,NULL,27,18
LAKE ANDREWS,99,OK,NULL,30,11
MYERS CREEK,100,OK,NULL,19,5
COULEE DAM #1,101,OK,NULL,30,38
COULEE DAM #2,102,OK,NULL,20,31
COULEE DAM #3,103,OK,NULL,24,12
NESPELEM CITY,104,OK,NULL,14,13
OKANOGAN #1,105,OK,NULL,23,14
OKANOGAN #2,106,OK,NULL,40,15
OKANOGAN #3,107,OK,NULL,25,4
OKANOGAN #4,108,OK,NULL,39,13
OMAK #1,109,OK,NULL,23,12
OMAK #2,110,OK,NULL,33,18
OMAK #3,111,OK,NULL,14,7
OMAK #4,112,OK,NULL,25,18
OMAK #5,113,OK,NULL,36,19
OMAK #6,114,OK,NULL,42,8
OMAK #7,115,OK,NULL,33,11
OMAK #8,116,OK,NULL,10,17
OMAK #9,117,OK,NULL,50,26
OROVILLE #1,118,OK,NULL,27,18
OROVILLE #2,119,OK,NULL,17,10
OROVILLE #3,120,OK,NULL,19,10
TONASKET #1,121,OK,NULL,19,10
TONASKET #2,122,OK,NULL,22,21
TONASKET #3,123,OK,NULL,16,6
BREWSTER #1,124,OK,NULL,20,7
BREWSTER #2,125,OK,NULL,54,12
PATEROS #1,126,OK,NULL,31,6
PATEROS #2,127,OK,NULL,31,9
TWISP #1,128,OK,NULL,72,16
TWISP #2,129,OK,NULL,59,11
WINTHROP #1,130,OK,NULL,79,26
CONCONULLY CITY,131,OK,NULL,50,38
COULEE DAM #4,132,OK,NULL,10,32
ELMER CITY,133,OK,NULL,34,42
RIVERSIDE CITY,134,OK,NULL,40,27
TWISP #3(*),135,OK,NULL,0,0
TWISP #4(*),136,OK,NULL,0,0
WINTHROP #2,137,OK,NULL,54,14
SHORELINE,138,OK,NULL,26,5
SIMILKAMEEN,139,OK,NULL,22,8
TEAL LAKE,140,OK,NULL,31,8
TONASKET CREEK,141,OK,NULL,30,8
OROVILLE #4,142,OK,NULL,24,15
OROVILLE #5,143,OK,NULL,31,16
OROVILLE #6,144,OK,NULL,20,7
OROVILLE #7,145,OK,NULL,26,8
OROVILLE #8,146,OK,NULL,35,3
OROVILLE #9,147,OK,NULL,24,10
OROVILLE #10,148,OK,NULL,25,17
JENNINGS LOOP,149,OK,NULL,18,9
BLUE LAKE,150,OK,NULL,45,11
AENEAS CREEK,151,OK,NULL,40,14
AENEAS LAKE,152,OK,NULL,58,17
ANTOINE CREEK,153,OK,NULL,29,11
ANTOINE PEAK,154,OK,NULL,16,7
CAPE LABELLE,155,OK,NULL,22,12
CAYUSE MTN,156,OK,NULL,18,10
CHEWILIKEN,157,OK,NULL,18,11
DUFFYS MTN,158,OK,NULL,20,5
FRONTAGE,159,OK,NULL,12,8
GUSTY RIDGE,160,OK,NULL,26,11
