Row Label,PrecinctCode,County,Registered Voters,Stephen M. Brown
Total,-1,YA,NULL,33432
0001,1,YA,NULL,0
0101,101,YA,NULL,127
0103,103,YA,NULL,124
0104,104,YA,NULL,163
0110,110,YA,NULL,164
0111,111,YA,NULL,180
0113,113,YA,NULL,132
0116,116,YA,NULL,274
0118,118,YA,NULL,109
0120,120,YA,NULL,159
0124,124,YA,NULL,71
0126,126,YA,NULL,111
0127,127,YA,NULL,225
0129,129,YA,NULL,141
0130,130,YA,NULL,166
0131,131,YA,NULL,197
0132,132,YA,NULL,195
0133,133,YA,NULL,400
0134,134,YA,NULL,508
0138,138,YA,NULL,421
0139,139,YA,NULL,368
0140,140,YA,NULL,179
0142,142,YA,NULL,352
0150,150,YA,NULL,150
0153,153,YA,NULL,236
0154,154,YA,NULL,267
0155,155,YA,NULL,284
0156,156,YA,NULL,164
0158,158,YA,NULL,140
0162,162,YA,NULL,181
0163,163,YA,NULL,350
0167,167,YA,NULL,346
0168,168,YA,NULL,331
0169,169,YA,NULL,371
0170,170,YA,NULL,229
0173,173,YA,NULL,216
0175,175,YA,NULL,169
0177,177,YA,NULL,370
0179,179,YA,NULL,337
0180,180,YA,NULL,179
0181,181,YA,NULL,354
0182,182,YA,NULL,501
0183,183,YA,NULL,280
0184,184,YA,NULL,260
0185,185,YA,NULL,339
0186,186,YA,NULL,426
0187,187,YA,NULL,288
0188,188,YA,NULL,391
0189,189,YA,NULL,208
0190,190,YA,NULL,180
0301,301,YA,NULL,56
0302,302,YA,NULL,182
0303,303,YA,NULL,172
0304,304,YA,NULL,88
0305,305,YA,NULL,9
0306,306,YA,NULL,249
0307,307,YA,NULL,16
0308,308,YA,NULL,0
0501,501,YA,NULL,195
0701,701,YA,NULL,68
0901,901,YA,NULL,104
1101,1101,YA,NULL,217
1103,1103,YA,NULL,231
1301,1301,YA,NULL,135
1501,1501,YA,NULL,212
1502,1502,YA,NULL,300
1503,1503,YA,NULL,272
1504,1504,YA,NULL,326
1701,1701,YA,NULL,197
1702,1702,YA,NULL,19
1703,1703,YA,NULL,178
1704,1704,YA,NULL,0
1705,1705,YA,NULL,309
1706,1706,YA,NULL,241
1708,1708,YA,NULL,175
1901,1901,YA,NULL,102
2101,2101,YA,NULL,297
2103,2103,YA,NULL,226
2301,2301,YA,NULL,188
2303,2303,YA,NULL,194
2306,2306,YA,NULL,274
2501,2501,YA,NULL,215
2701,2701,YA,NULL,532
3002,3002,YA,NULL,75
3004,3004,YA,NULL,10
3101,3101,YA,NULL,425
3102,3102,YA,NULL,211
3103,3103,YA,NULL,146
3104,3104,YA,NULL,230
3105,3105,YA,NULL,32
3106,3106,YA,NULL,266
3203,3203,YA,NULL,335
3204,3204,YA,NULL,34
3205,3205,YA,NULL,366
3206,3206,YA,NULL,328
3208,3208,YA,NULL,32
3301,3301,YA,NULL,205
3303,3303,YA,NULL,110
3304,3304,YA,NULL,286
3305,3305,YA,NULL,224
3306,3306,YA,NULL,137
3308,3308,YA,NULL,251
3309,3309,YA,NULL,191
3310,3310,YA,NULL,215
3311,3311,YA,NULL,496
3313,3313,YA,NULL,90
3401,3401,YA,NULL,100
3504,3504,YA,NULL,12
3601,3601,YA,NULL,31
3602,3602,YA,NULL,423
3605,3605,YA,NULL,452
3701,3701,YA,NULL,195
3901,3901,YA,NULL,312
3902,3902,YA,NULL,121
3903,3903,YA,NULL,536
3904,3904,YA,NULL,97
3905,3905,YA,NULL,82
4001,4001,YA,NULL,85
4002,4002,YA,NULL,100
4003,4003,YA,NULL,367
4005,4005,YA,NULL,192
4101,4101,YA,NULL,102
4102,4102,YA,NULL,238
4104,4104,YA,NULL,191
4105,4105,YA,NULL,131
4106,4106,YA,NULL,238
4108,4108,YA,NULL,175
4109,4109,YA,NULL,382
4111,4111,YA,NULL,316
4112,4112,YA,NULL,391
4114,4114,YA,NULL,90
4115,4115,YA,NULL,135
4303,4303,YA,NULL,100
4401,4401,YA,NULL,144
4402,4402,YA,NULL,169
4501,4501,YA,NULL,76
4503,4503,YA,NULL,29
4504,4504,YA,NULL,230
4601,4601,YA,NULL,120
4602,4602,YA,NULL,139
4603,4603,YA,NULL,306
4604,4604,YA,NULL,127
4605,4605,YA,NULL,2
4606,4606,YA,NULL,281
4608,4608,YA,NULL,97
4609,4609,YA,NULL,109
4615,4615,YA,NULL,237
4616,4616,YA,NULL,108
4618,4618,YA,NULL,189
4623,4623,YA,NULL,24
4624,4624,YA,NULL,141
4625,4625,YA,NULL,10
4626,4626,YA,NULL,13
4627,4627,YA,NULL,85
4628,4628,YA,NULL,88
4801,4801,YA,NULL,440
4802,4802,YA,NULL,418
5001,5001,YA,NULL,66
5003,5003,YA,NULL,250
5010,5010,YA,NULL,81
5012,5012,YA,NULL,218
5014,5014,YA,NULL,250
5016,5016,YA,NULL,118
5020,5020,YA,NULL,168
5101,5101,YA,NULL,118
5202,5202,YA,NULL,0
