Row Label,PrecinctCode,County,Registered Voters,Russ Skolrood,John Straka
Total,-1,GY,NULL,9758,7134
Taholah 002,2,GY,NULL,132,39
Quinault 004,4,GY,NULL,73,62
Neilton 006,6,GY,NULL,25,41
Pacific Beach 008,8,GY,NULL,100,67
Moclips 010,10,GY,NULL,7,12
Ocean City 012,12,GY,NULL,143,84
Burrows 014,14,GY,NULL,16,15
Wilderness 016,16,GY,NULL,57,44
Humptulips 018,18,GY,NULL,25,25
Axford 020,20,GY,NULL,61,49
Dekay 022,22,GY,NULL,48,28
Hoquiam Rural 024,24,GY,NULL,183,121
Stover 026,26,GY,NULL,29,36
North Wishkah 028(*),28,GY,NULL,0,0
Wishkah 030,30,GY,NULL,142,107
Cutoff032,32,GY,NULL,47,38
Coats Landing 034,34,GY,NULL,123,102
Geissler 036,36,GY,NULL,25,19
Aberdeen Lake 038(*),38,GY,NULL,0,0
Reynvaan 040,40,GY,NULL,66,42
Wynoochee 042(*),42,GY,NULL,0,0
Boundary 044,44,GY,NULL,22,15
Black Creek 046,46,GY,NULL,240,178
Brady 048,48,GY,NULL,248,148
Riviera 050,50,GY,NULL,16,21
Satsop 052,52,GY,NULL,73,73
Calder 056,56,GY,NULL,104,107
Bush 058,58,GY,NULL,243,205
McCleary Rural 060,60,GY,NULL,185,114
Porter 062,62,GY,NULL,87,68
Cedar Creek 064,64,GY,NULL,39,49
Chehalis 066(*),66,GY,NULL,0,0
Blockhouse 068,68,GY,NULL,101,107
Delezenne 070,70,GY,NULL,138,145
Melbourne 072,72,GY,NULL,135,136
Devonshire 074,74,GY,NULL,145,86
Vesta 076,76,GY,NULL,17,33
Artic 078,78,GY,NULL,27,25
Central Park 080,80,GY,NULL,312,228
Lois Lane 082,82,GY,NULL,67,40
Blue Slough 084,84,GY,NULL,116,52
Sierra 086(*),86,GY,NULL,0,0
Lund 088,88,GY,NULL,34,30
Newskah 090,90,GY,NULL,9,7
Ocosta 092,92,GY,NULL,0,0
Johns River 094,94,GY,NULL,129,96
Grayland 096,96,GY,NULL,123,106
Cohasset 098,98,GY,NULL,72,67
Aberdeen 111,111,GY,NULL,275,210
Aberdeen 121,121,GY,NULL,252,202
Aberdeen 131,131,GY,NULL,357,250
Aberdeen 132,132,GY,NULL,0,0
Aberdeen 141,141,GY,NULL,327,174
Aberdeen 142,142,GY,NULL,231,154
Aberdeen 151,151,GY,NULL,154,134
Aberdeen 161,161,GY,NULL,278,191
Cosmopolis 201,201,GY,NULL,325,180
Elma 301,301,GY,NULL,90,92
Elma 302,302,GY,NULL,232,154
Hoquiam 411,411,GY,NULL,194,143
Hoquiam 421,421,GY,NULL,146,129
Hoquiam 431,431,GY,NULL,211,133
Hoquiam 441,441,GY,NULL,251,116
Hoquiam 451,451,GY,NULL,166,127
Hoquiam 461,461,GY,NULL,179,89
McCleary 501,501,GY,NULL,169,125
Montesano 601,601,GY,NULL,356,239
Montesano 602,602,GY,NULL,348,227
Oakville 701,701,GY,NULL,49,73
Ocean Shores 801,801,GY,NULL,270,203
Ocean Shores 802,802,GY,NULL,385,269
Ocean Shores 803,803,GY,NULL,310,228
Westport 901,901,GY,NULL,214,217
