Row Label,PrecinctCode,County,Registered Voters,James W. McCroskey
Total,-1,PE,NULL,3582
Camden,1,PE,NULL,105
Cusick,2,PE,NULL,85
Dalkena,3,PE,NULL,202
Diamond Lk East,4,PE,NULL,81
Fertile Valley North,5,PE,NULL,135
Furport,6,PE,NULL,178
Ione East,7,PE,NULL,118
Ione West,8,PE,NULL,146
Metaline,9,PE,NULL,66
Metaline Falls,10,PE,NULL,138
Tiger Dry Canyon,11,PE,NULL,217
Newport NE,12,PE,NULL,192
Newport SE,13,PE,NULL,86
Newport NW,14,PE,NULL,171
Newport SW,15,PE,NULL,153
Noble,16,PE,NULL,233
Ruby,17,PE,NULL,19
Sacheen,18,PE,NULL,171
Usk,19,PE,NULL,132
Diamond Lk West,20,PE,NULL,125
Deer Valley North,21,PE,NULL,160
Locke,22,PE,NULL,27
Kalispel Leclerc,23,PE,NULL,126
Skookum,24,PE,NULL,48
Deer Valley South,25,PE,NULL,59
Fertile Valley South,26,PE,NULL,126
Diamond Lk,27,PE,NULL,283
