Row Label,PrecinctCode,County,Registered Voters,Lane Youmans
Total,-1,GY,NULL,14386
Taholah 002,2,GY,NULL,163
Quinault 004,4,GY,NULL,102
Neilton 006,6,GY,NULL,53
Pacific Beach 008,8,GY,NULL,147
Moclips 010,10,GY,NULL,18
Ocean City 012,12,GY,NULL,192
Burrows 014,14,GY,NULL,14
Wilderness 016,16,GY,NULL,78
Humptulips 018,18,GY,NULL,40
Axford 020,20,GY,NULL,94
Dekay 022,22,GY,NULL,52
Hoquiam Rural 024,24,GY,NULL,225
Stover 026,26,GY,NULL,47
North Wishkah 028,28,GY,NULL,2
Wishkah 030,30,GY,NULL,184
Cutoff032,32,GY,NULL,76
Coats Landing 034,34,GY,NULL,197
Geissler 036,36,GY,NULL,33
Aberdeen Lake 038,38,GY,NULL,3
Reynvaan 040,40,GY,NULL,89
Wynoochee 042,42,GY,NULL,4
Boundary 044,44,GY,NULL,35
Black Creek 046,46,GY,NULL,329
Brady 048,48,GY,NULL,327
Riviera 050,50,GY,NULL,31
Satsop 052,52,GY,NULL,117
Calder 056,56,GY,NULL,181
Bush 058,58,GY,NULL,364
McCleary Rural 060,60,GY,NULL,261
Porter 062,62,GY,NULL,134
Cedar Creek 064,64,GY,NULL,57
Chehalis 066,66,GY,NULL,4
Blockhouse 068,68,GY,NULL,202
Delezenne 070,70,GY,NULL,247
Melbourne 072,72,GY,NULL,223
Devonshire 074,74,GY,NULL,200
Vesta 076,76,GY,NULL,40
Artic 078,78,GY,NULL,40
Central Park 080,80,GY,NULL,435
Lois Lane 082,82,GY,NULL,82
Blue Slough 084,84,GY,NULL,140
Sierra 086,86,GY,NULL,1
Lund 088,88,GY,NULL,50
Newskah 090,90,GY,NULL,14
Ocosta 092,92,GY,NULL,0
Johns River 094,94,GY,NULL,213
Grayland 096,96,GY,NULL,214
Cohasset 098,98,GY,NULL,138
Aberdeen 111,111,GY,NULL,425
Aberdeen 121,121,GY,NULL,389
Aberdeen 131,131,GY,NULL,542
Aberdeen 132,132,GY,NULL,0
Aberdeen 141,141,GY,NULL,388
Aberdeen 142,142,GY,NULL,304
Aberdeen 151,151,GY,NULL,238
Aberdeen 161,161,GY,NULL,417
Cosmopolis 201,201,GY,NULL,412
Elma 301,301,GY,NULL,162
Elma 302,302,GY,NULL,350
Hoquiam 411,411,GY,NULL,286
Hoquiam 421,421,GY,NULL,228
Hoquiam 431,431,GY,NULL,291
Hoquiam 441,441,GY,NULL,318
Hoquiam 451,451,GY,NULL,237
Hoquiam 461,461,GY,NULL,234
McCleary 501,501,GY,NULL,288
Montesano 601,601,GY,NULL,522
Montesano 602,602,GY,NULL,521
Montesano 603,603,GY,NULL,0
Oakville 701,701,GY,NULL,98
Ocean Shores 801,801,GY,NULL,417
Ocean Shores 802,802,GY,NULL,552
Ocean Shores 803,803,GY,NULL,488
Westport 901,901,GY,NULL,387
