Row Label,PrecinctCode,County,Registered Voters,Ed Orcutt,John Morgan
Total,-1,CR,NULL,2386,722
510,510,CR,NULL,293,87
511,511,CR,NULL,21,9
520,520,CR,NULL,237,71
525,525,CR,NULL,279,80
528,528,CR,NULL,392,130
530,530,CR,NULL,177,71
535,535,CR,NULL,580,135
536,536,CR,NULL,252,78
537,537,CR,NULL,155,61
